"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value";"Value"
"CHEMBL265502";"SURAMIN";"3.0";"1297.30";"None";"None";"suramin";"Cc1ccc(C(=O)Nc2ccc(S(=O)(=O)O)c3cc(S(=O)(=O)O)cc(S(=O)(=O)O)c23)cc1NC(=O)c1cccc(NC(=O)Nc2cccc(C(=O)Nc3cc(C(=O)Nc4ccc(S(=O)(=O)O)c5cc(S(=O)(=O)O)cc(S(=O)(=O)O)c45)ccc3C)c2)c1";"Kd";"'='";"40.0";"nM";"7.40";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL663652";"Dissociation constant for Dengue virus envelope protein binding by surface plasmon resonance";"F";"BAO_0000218";"organism-based format";"Dengue virus";"None";"None";"None";"None";"";"";"";"CHEMBL613757";"Dengue virus";"Dengue virus";"ORGANISM";"CHEMBL1134516";"1";"Scientific Literature";"J Med Chem";"2001";"None";"";"";"";"40.0"
"CHEMBL2165927";"";"None";"353.46";"0";"0.52";"3v";"OC[C@@H]1[C@@H](O)[C@H](O)[C@@H](O)CN1CCCCCCOCc1ccccc1";"Activity";"";"";"";"";"";"Active";"";"";"";"";"";"0";"CHEMBL2167904";"Antiviral activity against 0.01 MOI DENV infected in human Huh7.5 cells assessed as reduction in viral E2 protein level at 0.1 to 100 uM after 2 days by Western blotting";"F";"BAO_0000218";"organism-based format";"Dengue virus";"None";"None";"Huh-7";"None";"";"";"";"CHEMBL613757";"Dengue virus";"Dengue virus";"ORGANISM";"CHEMBL2163238";"1";"Scientific Literature";"J Med Chem";"2012";"CHEMBL3307515";"";"";"";""
"CHEMBL2163419";"";"None";"357.42";"0";"0.52";"3j";"OC[C@@H]1[C@@H](O)[C@H](O)[C@@H](O)CN1CCCCCCOc1cccc(F)c1";"Activity";"";"";"";"";"";"Active";"";"";"";"";"";"0";"CHEMBL2167904";"Antiviral activity against 0.01 MOI DENV infected in human Huh7.5 cells assessed as reduction in viral E2 protein level at 0.1 to 100 uM after 2 days by Western blotting";"F";"BAO_0000218";"organism-based format";"Dengue virus";"None";"None";"Huh-7";"None";"";"";"";"CHEMBL613757";"Dengue virus";"Dengue virus";"ORGANISM";"CHEMBL2163238";"1";"Scientific Literature";"J Med Chem";"2012";"CHEMBL3307515";"";"";"";""
"CHEMBL2165944";"";"None";"359.51";"0";"1.05";"2l";"OC[C@@H]1[C@@H](O)[C@H](O)[C@@H](O)CN1CCCCCCOC1CCCCCC1";"Activity";"";"";"";"";"";"Active";"";"";"";"";"";"0";"CHEMBL2167904";"Antiviral activity against 0.01 MOI DENV infected in human Huh7.5 cells assessed as reduction in viral E2 protein level at 0.1 to 100 uM after 2 days by Western blotting";"F";"BAO_0000218";"organism-based format";"Dengue virus";"None";"None";"Huh-7";"None";"";"";"";"CHEMBL613757";"Dengue virus";"Dengue virus";"ORGANISM";"CHEMBL2163238";"1";"Scientific Literature";"J Med Chem";"2012";"CHEMBL3307515";"";"";"";""
"CHEMBL1269812";"";"None";"265.27";"0";"-0.65";"6";"Cc1ncnc2c1ccn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O";"IC50";"'='";"39.0";"nM";"7.41";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL1273412";"Antiviral activity against Dengue virus type 2 in Vero cells assessed as inhibition of viral RNA replication after 6 days by RT-PCR analysis";"F";"BAO_0000218";"organism-based format";"dengue virus type 2";"None";"None";"Vero";"None";"";"";"";"CHEMBL613966";"dengue virus type 2";"dengue virus type 2";"ORGANISM";"CHEMBL1269004";"1";"Scientific Literature";"J Med Chem";"2010";"CHEMBL3307520";"";"";"";"0.039"
"CHEMBL2403285";"";"None";"486.52";"0";"2.16";"1d";"O=c1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2OC(c2ccccc2)(c2ccccc2)c2ccccc2)c(=O)[nH]1";"EC50";"";"";"";"";"";"Not Determined";"";"";"";"";"";"0";"CHEMBL2405888";"Antiviral activity against DENV serotype 2 NGC infected in mosquito C6/36 cells assessed as inhibition of virus-induced cytopathic effect after 1 week";"F";"BAO_0000218";"organism-based format";"dengue virus type 2";"None";"None";"C6/36";"None";"";"";"";"CHEMBL613966";"dengue virus type 2";"dengue virus type 2";"ORGANISM";"CHEMBL2401640";"1";"Scientific Literature";"Eur J Med Chem";"2013";"None";"";"";"";""
"CHEMBL2403282";"";"None";"486.52";"0";"2.16";"1a";"O=c1ccn([C@@H]2O[C@H](COC(c3ccccc3)(c3ccccc3)c3ccccc3)[C@@H](O)[C@H]2O)c(=O)[nH]1";"EC50";"'='";"6000.0";"nM";"5.22";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL2405888";"Antiviral activity against DENV serotype 2 NGC infected in mosquito C6/36 cells assessed as inhibition of virus-induced cytopathic effect after 1 week";"F";"BAO_0000218";"organism-based format";"dengue virus type 2";"None";"None";"C6/36";"None";"";"";"";"CHEMBL613966";"dengue virus type 2";"dengue virus type 2";"ORGANISM";"CHEMBL2401640";"1";"Scientific Literature";"Eur J Med Chem";"2013";"None";"";"";"";"6.0"
"CHEMBL2413323";"";"None";"350.76";"0";"0.43";"13";"Nc1ncnc2c1c1c(Cl)cccc1n2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O";"EC50";"'='";"850.0";"nM";"6.07";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL2416360";"Antiviral activity against Dengue virus 2 infected in Vero cells after 3 days by fluorescence microscopy";"F";"BAO_0000218";"organism-based format";"dengue virus type 2";"None";"None";"Vero";"None";"";"";"";"CHEMBL613966";"dengue virus type 2";"dengue virus type 2";"ORGANISM";"CHEMBL2413035";"1";"Scientific Literature";"Bioorg Med Chem";"2013";"CHEMBL3307520";"";"";"";"0.85"
"CHEMBL4064534";"";"None";"491.60";"0";"4.91";"YKL-04-085";"Cc1ccc(-n2c(=O)ccc3ccc4ccc(-c5cnn(C)c5)cc4c32)cc1NC(=O)/C=C/CN(C)C";"IC90";"'='";"555.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL4043016";"Antiviral activity against Dengue virus serotype 2 strain New Guinea C infected in HuH7 cells measured at 24 hrs post infection by focus forming assay";"F";"BAO_0000219";"cell-based format";"dengue virus type 2";"None";"None";"None";"None";"";"";"";"CHEMBL613966";"dengue virus type 2";"dengue virus type 2";"ORGANISM";"CHEMBL4041550";"1";"Scientific Literature";"ACS Med Chem Lett";"2017";"None";"";"";"";"0.555"
"CHEMBL4091991";"";"None";"524.60";"2";"5.01";"BMX-IN-1";"C=CC(=O)Nc1cc(-n2c(=O)ccc3cnc4ccc(-c5ccc(NS(C)(=O)=O)cc5)cc4c32)ccc1C";"Activity";"";"";"";"";"";"Not Active";"";"";"";"";"";"0";"CHEMBL4043018";"Antiviral activity against Dengue virus serotype 2 strain New Guinea C infected in HuH7 cells at 2.5 to 10 uM measured at 24 hrs post infection by focus forming assay";"F";"BAO_0000219";"cell-based format";"dengue virus type 2";"None";"None";"None";"None";"";"";"";"CHEMBL613966";"dengue virus type 2";"dengue virus type 2";"ORGANISM";"CHEMBL4041550";"1";"Scientific Literature";"ACS Med Chem Lett";"2017";"None";"";"";"";""
