PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Standard Type,Standard Relation,Standard Value,Standard Units,Activity Comment
RESULT_TYPE,,,,,,,,STRING,STRING,FLOAT,STRING,STRING
RESULT_DESCR,,,,,,,,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM,Additional comments
1,174489016,73346535,CCCC[C@@H](C(=O)N)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCN=C(N)N)NC(=O)C1=CC=CC=C1,Unspecified,,,,Inhibition,=,5.522,%,
2,174494040,72714178,CCCC[C@@H](C(=O)N)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCN=C(N)N)NC(=O)C1=CC=C(C=C1)/C=C\2/C(=O)N(C(=O)S2)C3CCCC3,Unspecified,,,,Inhibition,=,16,%,
3,174514709,73354076,CCCC[C@@H](C(=O)N)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCN=C(N)N)NC(=O)C1=CC=C(C=C1)/C=C(\C#N)/C(=O)NC2CC2,Unspecified,,,,Inhibition,=,13.4,%,
4,312358924,118714504,C1=CC=C(C=C1)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CO)C(=O)N,Unspecified,,,,Inhibition,=,6.2,%,
5,312358925,118714505,C1=CC=C(C=C1)C[C@@H](C(=O)N)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCN=C(N)N)NC(=O)C2=CC=CC=C2,Unspecified,,,,Inhibition,=,7.2,%,
6,312358926,118714506,C[C@@H](C(=O)N)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCN=C(N)N)NC(=O)C1=CC=CC=C1,Unspecified,,,,Inhibition,=,7.2,%,
7,312358927,118714507,C1=CC=C(C=C1)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H](CCCCN)C(=O)NCC(=O)N,Unspecified,,,,Inhibition,=,3.5,%,
8,312358928,118714508,CSCC[C@@H](C(=O)N)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCN=C(N)N)NC(=O)C1=CC=CC=C1,Unspecified,,,,Inhibition,=,6.2,%,
9,312358929,118714509,CCC[C@@H](C(=O)N)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCN=C(N)N)NC(=O)C1=CC=CC=C1,Inactive,,,Potential missing data,Inhibition,,,,Not Active
10,312358930,118714510,CC(C)(C)[C@@H](C(=O)N)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCN=C(N)N)NC(=O)C1=CC=CC=C1,Inactive,,,Potential missing data,Inhibition,,,,Not Active
11,312358931,118714511,C1=CC=C(C=C1)[C@@H](C(=O)N)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCN=C(N)N)NC(=O)C2=CC=CC=C2,Inactive,,,Potential missing data,Inhibition,,,,Not Active
12,312358932,118714512,C1C(N(CC2=CC=CC=C21)C(=O)[C@H](CCCCN)NC(=O)[C@H](CCCN=C(N)N)NC(=O)C3=CC=CC=C3)C(=O)N,Inactive,,,Potential missing data,Inhibition,,,,Not Active
13,312358933,118714513,CCCC[C@H](C(=O)N)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCN=C(N)N)NC(=O)C1=CC=CC=C1,Unspecified,,,,Inhibition,=,4.9,%,
14,312358934,118714514,C1=CC=C(C=C1)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H](CCCCN)C(=O)NC2=CC=CC=C2C(=O)N,Unspecified,,,,Inhibition,=,6.4,%,
15,312358935,118714515,C1=CC=C(C=C1)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CC2=CNC3=CC=CC=C32)C(=O)N,Inactive,,,Potential missing data,Inhibition,,,,Not Active
16,312358936,118714516,C1=CC=C(C=C1)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CC2=CC=C(C=C2)O)C(=O)N,Unspecified,,,,Inhibition,=,7.9,%,
17,312358937,118714517,C1=CC=C(C=C1)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H](CCCCN)C(=O)NCCC(=O)N,Inactive,,,Potential missing data,Inhibition,,,,Not Active
18,312358938,118714518,CC(C)(C(=O)N)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCN=C(N)N)NC(=O)C1=CC=CC=C1,Inactive,,,Potential missing data,Inhibition,,,,Not Active
19,312358939,118714519,C1C[C@H](N(C1)C(=O)[C@H](CCCCN)NC(=O)[C@H](CCCN=C(N)N)NC(=O)C2=CC=CC=C2)C(=O)N,Inactive,,,Potential missing data,Inhibition,,,,Not Active
20,312358940,118714520,C1=CC=C(C=C1)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H](CCCCN)C(=O)NC2=CC=CC(=C2)C(=O)N,Unspecified,,,,Inhibition,=,5.6,%,
21,312358941,118714521,C1=CC=C(C=C1)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H](CCCCN)C(=O)NC2=CC=C(C=C2)C(=O)N,Unspecified,,,,Inhibition,=,9.2,%,
22,312358942,118714522,C#CCC(C(=O)N)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCN=C(N)N)NC(=O)C1=CC=CC=C1,Unspecified,,,,Inhibition,=,5.2,%,
23,312358943,118714523,C1CCN(C(C1)C(=O)N)C(=O)[C@H](CCCCN)NC(=O)[C@H](CCCN=C(N)N)NC(=O)C2=CC=CC=C2,Inactive,,,Potential missing data,Inhibition,,,,Not Active
24,312358944,118714524,C1=CC=C(C=C1)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CC2=CN=CC=C2)C(=O)N,Inactive,,,Potential missing data,Inhibition,,,,Not Active
25,312358945,118714525,C1=CC=C(C=C1)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CC2=CC=CC=N2)C(=O)N,Inactive,,,Potential missing data,Inhibition,,,,Not Active
26,312358946,118714526,C1=CC=C(C=C1)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CC2=CC=C(C=C2)[N+](=O)[O-])C(=O)N,Inactive,,,Potential missing data,Inhibition,,,,Not Active
27,312358947,118714527,C1=CC=C(C=C1)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CC2=CC=C(C=C2)C#N)C(=O)N,Inactive,,,Potential missing data,Inhibition,,,,Not Active
28,312358948,118714528,C1CCC(CC1)C[C@@H](C(=O)N)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCN=C(N)N)NC(=O)C2=CC=CC=C2,Inactive,,,Potential missing data,Inhibition,,,,Not Active
29,312358949,118714529,C1CCC(CC1)C(C(=O)N)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCN=C(N)N)NC(=O)C2=CC=CC=C2,Inactive,,,Potential missing data,Inhibition,,,,Not Active
30,312358950,118714530,CC(C)C[C@@H](C(=O)N)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCN=C(N)N)NC(=O)C1=CC=CC=C1,Unspecified,,,,Inhibition,=,5.9,%,
31,312358951,118714531,CC[C@H](C)[C@@H](C(=O)N)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCN=C(N)N)NC(=O)C1=CC=CC=C1,Unspecified,,,,Inhibition,=,4.6,%,
32,312358952,118714532,C[C@H]([C@@H](C(=O)N)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCN=C(N)N)NC(=O)C1=CC=CC=C1)O,Inactive,,,Potential missing data,Inhibition,,,,Not Active
33,312358953,118714533,CC(C)[C@@H](C(=O)N)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCN=C(N)N)NC(=O)C1=CC=CC=C1,Unspecified,,,,Inhibition,=,4.9,%,
34,312358954,118714534,C1CC1NC(=O)/C(=C/C2=CC=C(C=C2)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H](CCCCN)C(=O)NC(C3=CC=CC=C3)C(=O)N)/C#N,Unspecified,,,,Inhibition,=,5.6,%,
35,312358955,118714535,C1CCC(C1)N2C(=O)/C(=C/C3=CC=C(C=C3)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](C4=CC=CC=C4)C(=O)N)/SC2=O,Unspecified,,,,Inhibition,=,9.2,%,
36,312358956,118714536,C1CC1NC(=O)/C(=C/C2=CC=C(C=C2)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H](CCCCN)C(=O)N3CC4=CC=CC=C4CC3C(=O)N)/C#N,Inactive,,,Potential missing data,Inhibition,,,,Not Active
37,312358957,118714537,C1CCC(C1)N2C(=O)/C(=C/C3=CC=C(C=C3)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H](CCCCN)C(=O)N4CC5=CC=CC=C5CC4C(=O)N)/SC2=O,Unspecified,,,,Inhibition,=,7.6,%,
38,312358958,118714538,CC(C)(C)[C@@H](C(=O)N)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCN=C(N)N)NC(=O)C1=CC=C(C=C1)/C=C(\C#N)/C(=O)NC2CC2,Unspecified,,,,Inhibition,=,5,%,
39,312358959,118714539,CC(C)(C)[C@@H](C(=O)N)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCN=C(N)N)NC(=O)C1=CC=C(C=C1)/C=C\2/C(=O)N(C(=O)S2)C3CCCC3,Unspecified,,,,Inhibition,=,10.2,%,
