PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,IC50 Modifier,IC50,IC50 Hill Slope,IC50 NormChi2,IC50 StdDev Modifier,IC50 StdDev,Max CPE Inhibition,Max CPE Inibition Conc,Min CPE Inhibition,Min CPE Inhibition Conc,CPE Inhibition @ 20 uM,CPE Inhibition @ 10 uM,CPE Inhibition @ 5 uM,CPE Inhibition @ 2.5 uM,CPE Inhibition @ 1.25 uM,CPE Inhibition @ 0.625 uM,CPE Inhibition @ 0.313 uM,CPE Inhibition @ 0.156 uM,CPE Inhibition @ 0.078 uM,CPE Inhibition @ 0.039 uM
RESULT_TYPE,,,,,,,,STRING,FLOAT,FLOAT,FLOAT,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT
RESULT_DESCR,,,,,,,,,,,,,,Maximum Inhibition achieved across all concentrations,Concentration (uM) at Maximum Inhibition,Minimum Inhibition achieved across all concentrations,Concentration (uM) at Minimum Inhibition,,,,,,,,,,
RESULT_UNIT,,,,,,,,,MICROMOLAR,NONE,NONE,,NONE,PERCENT,MICROMOLAR,PERCENT,MICROMOLAR,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,
RESULT_ATTR_CONC_MICROMOL,,,,,,,,,,,,,,,,,,20,10,5,2.5,1.25,0.625,0.313,0.156,0.078,0.039
1,22404944,4218509,COC1=C(C=CC(=C1)[N+](=O)[O-])NC(=O)CC2C(=O)N(C(=NC3=CC=C(C=C3)F)S2)CCC4=CCCCC4,Active,80,,,,0.108,0.104,8.348,,7.432,32.94,2.5,-2.07,0.078,20.43,22.03,24.92,32.94,15.29,-1.25,2.41,2.54,-2.07,-0.13
2,24802783,2055896,CC(C)(C)C1=CC=C(C=C1)C(=O)NC2=C(C3=C(S2)CCC3)C(=O)O,Active,80,,,,0.165,0.313,9.283,,0.905,58.02,2.5,-0.06,0.039,,55.08,50.57,58.02,52.74,28.21,21.98,1.06,2.91,-0.06
3,845965,648333,COC(=O)C1=CC=CC=C1NC(=O)CN2CCC(CC2)N3C4=C(C=C(C=C4)F)N=N3,Active,80,,,,0.178,0.116,3.689,,4.284,31.01,5,2.56,0.039,29.95,,31.01,28.28,20.12,13.69,10.25,6.6,8.21,2.56
4,17407923,3216907,CC1=CC(=C2C=C(C(=NC2=C1)Cl)CN(CC3=CN=CC=C3)C(=O)C4=CC=C(C=C4)F)C,Active,80,,,,0.416,2.993,5.15,,0.026,108.86,20,3.71,0.039,108.86,94.43,100.84,105.26,98.16,77.9,27.63,10.23,5.17,3.71
5,17411746,5509203,CC1=CC=CC=C1C(=O)N/N=C(\C)/C2=CC=C(C=C2)NC(=O)C3=CC=CS3,Active,80,,,,0.524,1.171,8.813,,0.087,90.82,20,9.41,0.078,90.82,90.71,89.91,89.19,88.59,40.9,36.96,19.63,9.41,12.71
6,22410720,15945385,CC(C(=O)NC1=CC=CC=C1C2=CC=CC=C2)N3CCN(CC3)S(=O)(=O)C4=CC=CC=C4,Active,80,,,,1.4,1.431,11.059,,0.264,86.76,5,-0.9,0.078,79.05,75.19,86.76,79.56,51.24,14.66,6.57,4.34,-0.9,5.48
7,848603,651058,CC1=CC=CC=C1C(=O)NC2CCN(CC2)CC(=O)NC3=CC=CC=C3C(=O)OC,Active,80,,,,1.446,1.678,8.424,,0.192,90.02,20,3.41,0.078,90.02,80.26,86.6,82.21,41.87,13.63,7.85,6.31,3.41,7.33
8,24793799,1319732,CCC1=CC(=C(S1)NC(=O)/C=C/C2=CC(=C(C=C2)OC)OC)C(=O)O,Active,80,,,,1.675,0.67,7.462,,0.762,87.68,20,2.39,0.039,87.68,74.14,52.56,58.68,51.55,21.34,18.81,8.66,3.43,2.39
9,17513405,4271672,C1=CSC(=C1)C2=NC3=C(C(=C2)C4=CC=C(C=C4)F)C(=C(S3)C#N)N,Active,80,,,,2.283,0.757,3.35,,0.487,32.15,1.25,-5.03,0.039,,,,,32.15,24.46,8.15,2.42,1.91,-5.03
10,17511547,3373363,CN1C2=CC=CC=C2N=C1C3=C(N(C4=NC5=CC=CC=C5N=C34)C6=CC=CC=C6)N,Active,80,,,,2.417,1.037,10.441,,0.509,87.14,5,5.9,0.156,71.17,79.28,87.14,48.48,29.46,15.77,7.21,5.9,10.97,6.93
11,24796400,950131,C1=CC=C(C=C1)/C=C/C(=O)NC2=C(C(=CS2)C3=CC=CC=C3)C(=O)O,Active,79,,,,3.056,0.772,9.299,,0.688,80.12,20,0.11,0.039,80.12,77.67,45.32,45.09,52.5,18.23,13.3,1.79,4.3,0.11
12,22402907,5191473,CC1=CC=C(C=C1)C2=CSC(=N2)NC(=O)C3=CC(=C(C=C3)OCC(=O)N4CCOCC4)OC,Active,79,,,,4.005,1.41,7.884,,0.63,87.79,10,-3.6,0.156,73.37,87.79,60.09,27.15,11.46,5.69,0.18,-3.6,-2.42,-2.3
13,7974599,2077550,C1CCC2=C(C1)C3=C(S2)N=C(OC3=O)C4=CC5=CC=CC=C5O4,Active,79,,,,4.594,0.717,7.275,,1.369,65.66,10,-0.68,0.078,60.92,65.66,53.36,40,25.55,5.48,0.05,0.45,-0.68,3.34
14,855567,5282230,COC1=C(C=C(C=C1)/C=C/C(=O)NC2=CC=CC=C2C(=O)O)OC,Active,79,,,,4.784,0.727,6.457,,1.26,82.57,20,-0.64,0.039,82.57,48.92,50.8,35.42,28.07,14.86,10.04,-0.1,1.38,-0.64
15,852220,54677080,CC1=CSC(=N1)NC(=O)C2=C(C3=C(CCCC3)N(C2=O)CC(C)C)O,Active,79,,,,4.901,0.213,5.514,,25.147,45.1,5,6.02,0.039,39.63,37.9,45.1,27.97,,21.17,9.68,11.24,6.32,6.02
16,14734840,730090,CC1=CC=C(C=C1)C2=CSC(=N2)NC(=O)C3=CC=CS3,Active,79,,,,4.996,1.526,9.687,,0.804,73.79,20,-3.52,0.156,73.79,70.13,67.28,21.65,1.25,-2.31,-3.32,-3.52,-2.58,-1.59
17,22410140,4544702,C1CC(OC1)COC2=CC=C(C=C2)C(=O)NC3=NC(=CS3)C4=C(C=C(C=C4)Cl)Cl,Active,78,,,,5.085,1.607,7.159,,0.588,86.26,20,-5.41,0.078,86.26,66.82,62.42,20.89,-1.05,5.76,1.56,1.77,-5.41,0.08
18,24823724,16195554,C1=CC=C(C=C1)C2=C/C(=C\C3=CC=C(O3)C4=CC=C(C=C4)[N+](=O)[O-])/C(=O)N2C5=CC=C(C=C5)C(=O)O,Active,78,,,,5.325,0.834,10.687,,1.815,72.57,20,-4.24,0.313,72.57,47.81,53.66,47.69,7.16,0.12,-4.24,1.25,-2.98,0.77
19,24820069,626715,C1=CC=C(C=C1)C2=C(SC(=N2)N)C3=CC=C(C=C3)[N+](=O)[O-],Active,78,,,,5.6,0.861,5.546,,2.453,30.64,1.25,-0.57,0.078,,,,28.01,30.64,14.76,2.89,1.49,-0.57,1.09
20,24810694,16193189,CCNC1=NC(=NC(=N1)SCCOC2=C(C=C(C=C2)Cl)Cl)N(C)C,Active,78,,,,5.922,3.27,2.594,,0.327,36.57,5,-1.31,0.039,,,36.57,5.2,1.6,5.38,1.3,1.6,2.24,-1.31
21,24836082,1177253,C1=CC=C(C=C1)C2=CSC(=C2C(=O)O)NC(=O)/C=C/C3=CC=CS3,Active,78,,,,6.236,0.702,9.256,,1.642,62.82,10,-1.38,0.039,52.16,62.82,62.17,36.26,21.12,15.77,2.35,4.92,3.52,-1.38
22,14742764,4889526,CN1C2=CC=CC=C2N=C1C3=C(N(C4=NC5=CC=CC=C5N=C34)CCCOC)N,Active,77,,,,7.618,1.133,5.577,,0.87,67.52,20,-3.63,0.039,67.52,63.42,44.37,12.86,12.69,5.14,4.83,-2.31,2.87,-3.63
23,14730006,1477455,CC1=CC(=CC=C1)NC(=O)NC2=C(C(=C(N2CC3=CC=C(C=C3)OC)C)C)C#N,Active,77,,,,7.634,0.912,11.94,,2.602,62.58,5,-2.14,0.039,58.38,54.17,62.58,14.4,2.03,0.04,5.68,3.58,-0.7,-2.14
24,24798053,1206157,CC1=CC=C(C=C1)C2=CSC(=C2C(=O)O)NC(=O)/C=C/C3=CC=CO3,Active,77,,,,8.569,0.558,10.269,,3.313,65.89,5,3.25,0.039,55.29,38.9,65.89,36.69,25.71,16.23,6.74,7.67,3.28,3.25
25,14740385,5736201,C1CC2=C(C1)SC3=C2C(=O)OC(=N3)/C=C/C4=CC=CC=C4,Active,77,,,,8.923,0.844,6.344,,1.508,60.99,20,0.17,0.156,60.99,57.04,41.8,18.08,26.41,0.44,6.27,0.17,2.39,0.55
26,17507199,5598240,CCCCCCC1=C(C=C2C(=C1)C=C(C(=O)O2)C(=O)NC3=CC=CC=C3OC)O,Active,77,,,,9.142,0.586,8.161,,2.746,58.88,5,-2.46,0.039,53.23,45.65,58.88,34.5,21.47,14.58,7.11,12.56,0.98,-2.46
27,17432477,2958281,CC(C1=NN=C(N1C)SCC2=C(C=C(C=C2)Cl)Cl)NC(=O)C3=CC=CS3,Active,77,,,,9.371,1.153,4.606,,0.907,73.32,20,1.65,0.039,73.32,47.58,36.81,15.01,5.64,8.4,2.51,9.21,4.63,1.65
28,14730764,1479456,CC1=NC(=CC(=N1)NCC2=C(C=C(C=C2)Cl)Cl)CS(=O)C3=CC=C(C=C3)Cl,Active,77,,,,9.42,0.797,2.618,,0.701,60.94,20,0.63,0.156,60.94,52.87,41,26.41,15.39,6.95,7.34,0.63,4.06,1.02
