PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Standard Type,Activity Comment
RESULT_TYPE,,,,,,,,STRING,STRING
RESULT_DESCR,,,,,,,,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),Additional comments
1,103466622,442027,CC(C)C1=C(C=C2C(=C1)CC[C@@H]3[C@@]2(CCCC3(C)C)C)O,Inactive,,,Potential missing data,Activity,Not Active
2,123095009,52946772,CC(C)C1=C(C=C2C(=C1)CC[C@@H]3[C@@]2(CCC[C@@]3(C)C=O)C)O,Inactive,,,Potential missing data,Activity,Not Active
3,312359873,16115072,CC(C)C1=C(C=C2C(=C1)CC[C@@H]3[C@@]2(CCC[C@@]3(C)CN4C(=O)C5=CC=CC=C5C4=O)C)OC(=O)C,Inactive,,,Potential missing data,Activity,Not Active
4,312359874,16115073,CC(C)C1=C(C=C2C(=C1)CC[C@@H]3[C@@]2(CCC[C@@]3(C)CN4C(=O)C5=CC=CC=C5C4=O)C)O,Inactive,,,Potential missing data,Activity,Not Active
5,312359875,71481619,CC(C)C1=C(C=C2C(=C1)CC[C@@H]3[C@@]2(CCC[C@@]3(C)CN)C)O,Inactive,,,Potential missing data,Activity,Not Active
6,312359876,118715113,CC(C)C1=C(C=C2C(=C1)CC[C@@H]3[C@@]2(CCC[C@@]3(C)CN4C(=O)C5=C(C4=O)C(=C(C(=C5Cl)Cl)Cl)Cl)C)O,Inactive,,,Potential missing data,Activity,Not Active
7,312359877,102314234,CC(C)C1=C(C=C2C(=C1)CC[C@@H]3[C@@]2(CCC[C@@]3(C)CN4C(=O)C5=C(C4=O)C(=C(C(=C5Cl)Cl)Cl)Cl)C)OC(=O)C,Inactive,,,Potential missing data,Activity,Not Active
8,312359878,102314239,CC(C)C1=C(C=C2C(=C1)C(=O)C[C@@H]3[C@@]2(CCC[C@@]3(C)CN4C(=O)C5=C(C4=O)C(=C(C(=C5Cl)Cl)Cl)Cl)C)OC(=O)C,Inactive,,,Potential missing data,Activity,Not Active
9,336865634,127025198,CC1=CC=C(C=C1)S(=O)(=O)NC[C@@]2(CCC[C@]3([C@H]2CCC4=CC(=C(C=C43)O)C(C)C)C)C,Inactive,,,Potential missing data,Activity,Not Active
10,336866965,127026093,CC1=CC=C(C=C1)S(=O)(=O)/N=C\2/C[C@H]3[C@](CCC[C@@]3(C4=CC(=C(C=C24)C(C)C)OC(=O)C)C)(C)CN5C(=O)C6=C(C5=O)C(=C(C(=C6Cl)Cl)Cl)Cl,Inactive,,,Potential missing data,Activity,Not Active
