PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units,Data Validity Comment
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM,Comment reflecting whether the values for this activity measurement are likely to be correct
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,,
1,374267280,134131787,B([C@H](CCCN=C(N)N)NC(=O)[C@H](CC1=CC(=CC=C1)N=C(N)N)NC(=O)C2=CC=CC=C2)(O)O,Active,,,,0.091,Ki,=,91,nM,
2,374267280,134131787,B([C@H](CCCN=C(N)N)NC(=O)[C@H](CC1=CC(=CC=C1)N=C(N)N)NC(=O)C2=CC=CC=C2)(O)O,Active,,,,0.11,IC50,=,110,nM,
3,374270146,134132585,CC(C)(C)C1=CC=C(C=C1)C(=O)N[C@@H](CC2=CC=C(C=C2)N=C(N)N)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N,Unspecified,,,,145,IC50,=,145000,nM,Outside typical range
4,374277832,134134647,B([C@H](CCCN=C(N)N)NC(=O)[C@H](CC1=CC=C(C=C1)N=C(N)N)NC(=O)C2=CC=CC=C2)(O)O,Active,,,,0.027,Ki,=,27,nM,
5,374277832,134134647,B([C@H](CCCN=C(N)N)NC(=O)[C@H](CC1=CC=C(C=C1)N=C(N)N)NC(=O)C2=CC=CC=C2)(O)O,Active,,,,0.036,IC50,=,36,nM,
6,374285850,134136843,C1=CC=C(C=C1)C(=O)N[C@@H](CC2=CC=C(C=C2)N=C(N)N)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N,Unspecified,,,,29,Ki,=,29000,nM,
7,374285850,134136843,C1=CC=C(C=C1)C(=O)N[C@@H](CC2=CC=C(C=C2)N=C(N)N)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N,Unspecified,,,,87,IC50,=,87000,nM,
8,374295686,134139518,C1=CC=C(C=C1)C(=O)N[C@@H](CC2=CC(=CC=C2)N=C(N)N)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N,Unspecified,,,,211,IC50,=,211000,nM,Outside typical range
9,374296293,134139660,B([C@H](CCCN=C(N)N)NC(=O)[C@H](CC1=CC=C(C=C1)CN)NC(=O)C2=CC=CC=C2)(O)O,Active,,,,0.051,Ki,=,51,nM,
10,374296293,134139660,B([C@H](CCCN=C(N)N)NC(=O)[C@H](CC1=CC=C(C=C1)CN)NC(=O)C2=CC=CC=C2)(O)O,Active,,,,0.066,IC50,=,66,nM,
11,374322854,134147056,B([C@H](CCCN=C(N)N)NC(=O)[C@H](CC1=CC=C(C=C1)N)NC(=O)C2=CC=CC=C2)(O)O,Active,,,,4.2,Ki,=,4200,nM,
12,374322854,134147056,B([C@H](CCCN=C(N)N)NC(=O)[C@H](CC1=CC=C(C=C1)N)NC(=O)C2=CC=CC=C2)(O)O,Active,,,,7.4,IC50,=,7400,nM,
13,374332250,134149696,B([C@H](CCCN=C(N)N)NC(=O)[C@H](C1=CC(=CC=C1)N=C(N)N)NC(=O)C2=CC=CC=C2)(O)O,Active,,,,0.22,Ki,=,220,nM,
14,374332250,134149696,B([C@H](CCCN=C(N)N)NC(=O)[C@H](C1=CC(=CC=C1)N=C(N)N)NC(=O)C2=CC=CC=C2)(O)O,Active,,,,0.26,IC50,=,260,nM,
15,374347171,134153947,B([C@H](CCCN=C(N)N)NC(=O)[C@H](CC1=CC=C(C=C1)N=C(N)N)NC(=O)C2=CC=C(C=C2)C(C)(C)C)(O)O,Active,,,,0.078,Ki,=,78,nM,
16,374347171,134153947,B([C@H](CCCN=C(N)N)NC(=O)[C@H](CC1=CC=C(C=C1)N=C(N)N)NC(=O)C2=CC=C(C=C2)C(C)(C)C)(O)O,Active,,,,0.11,IC50,=,110,nM,
