PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Standard Type,Standard Relation,Standard Value,Activity Comment
RESULT_TYPE,,,,,,,,STRING,STRING,FLOAT,STRING
RESULT_DESCR,,,,,,,,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Additional comments
1,103538525,3011893,C[C@]1([C@@H]([C@H](O[C@H]1N2C=CC3=C(N=CN=C32)N)CO)O)O,Inconclusive,,,Potential missing data,Ratio CC50/EC50,,,Not Determined
2,103619997,37542,C1=NC(=NN1[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O)C(=O)N,Unspecified,,,,Ratio CC50/EC50,>,34,
3,318373047,122178656,C1=CC(=CC(=C1)O)NC2=NC(=NC3=C2NC=N3)NCCO,Unspecified,,,,Ratio CC50/EC50,>,24,
4,440109388,155510408,C1COCCN1C2=NC3=C(CN(C3=O)CCOC4=CC=CC=C4)C(=N2)NC5=CC=C(C=C5)S(=O)(=O)N,Unspecified,,,,Ratio CC50/EC50,>,8,
5,440116843,155515185,C1COCCN1C2=NC3=C(C(=N2)NC4=CC(=CC=C4)O)NC=N3,Unspecified,,,,Ratio CC50/EC50,=,3,
6,440125794,155521006,C1=CC=C(C=C1)OCCNC2=NC3=C(C(=N2)NC4=CC(=CC=C4)O)NC=N3,Unspecified,,,,Ratio CC50/EC50,=,6.9,
7,440127298,155522000,C1COCCN1C2=NC(=C(C(=N2)NC3=CC(=CC=C3)O)CO)C(=O)NCCOC4=CC=CC=C4,Unspecified,,,,Ratio CC50/EC50,=,1.2,
8,440128356,155522668,C1COCCN1C2=NC3=C(CN(C3=O)CCOC4=CC=CC=C4)C(=N2)NC5=CC(=CC=C5)O,Unspecified,,,,Ratio CC50/EC50,>,4.9,
9,440130057,155523777,CCCCCOCC1=C(N=C(N=C1NC2=CC=C(C=C2)S(=O)(=O)N)N3CCOCC3)C(=O)NCCOC4=CC=CC=C4,Unspecified,,,,Ratio CC50/EC50,>,46,
10,440133413,155525987,CCCCCOCC1=C(N=C(N=C1NC2=CC(=CC=C2)O)N3CCOCC3)C(=O)NCC4=CC=C(C=C4)C(F)(F)F,Unspecified,,,,Ratio CC50/EC50,=,3,
11,440142269,155531795,C1COCCN1C2=NC(=C(C(=N2)NC3=CC(=CC=C3)O)CO)C(=O)NCCC4=CC=CC=C4,Unspecified,,,,Ratio CC50/EC50,=,3.1,
12,440146980,155534916,CCCCCOCC1=C(N=C(N=C1NC2=CC=C(C=C2)S(=O)(=O)N)N3CCOCC3)C(=O)NCC4=CC=CC=C4,Unspecified,,,,Ratio CC50/EC50,>,88,
13,440193720,155555176,CCCCCOCC1=C(N=C(N=C1NC2=CC(=CC=C2)O)N3CCOCC3)C(=O)NCC4=CC=CC=C4,Unspecified,,,,Ratio CC50/EC50,=,1.9,
14,440218930,146166239,C1COCCN1C2=NC3=C(CN(C3=O)CC4=CC=CC=C4)C(=N2)NC5=CC=C(C=C5)S(=O)(=O)N,Unspecified,,,,Ratio CC50/EC50,>,4.8,
