PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units,Activity Comment
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM,Additional comments
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,,
1,461518522,162645823,CC1=CC=C(C=C1)NC(=O)C2=NC=CN=C2C(=O)NC3=C(C=C(C=C3)C)C4=CC=C(S4)C,Inconclusive,,,Potential missing data,,CC50,,,,Not Determined
2,461519453,162646520,CC1=CC(=C(C=C1)NC(=O)C2=CC=CC=C2C(=O)NC3=CC=C(C=C3)F)C4=CC=CS4,Unspecified,,,,37,CC50,>,37000,nM,
3,461520190,162647041,CC1=CC(=NN1)C2=CC=CC=C2NC(=O)C3=NC=CN=C3C(=O)NC4=CC=C(C=C4)F,Unspecified,,,,77,CC50,=,77000,nM,
4,461522466,162648624,C1=CC=C(C(=C1)CNC(=O)C2=NC=CN=C2C(=O)NC3=CC=C(C=C3)F)C4=CSC=C4,Unspecified,,,,76,CC50,=,76000,nM,
5,461523044,162649020,CC1=CC=C(C=C1)NC(=O)C2=CC=CC=C2C(=O)NC3=C(C=C(C=C3)C)C4=CC=CS4,Unspecified,,,,37,CC50,>,37000,nM,
6,461524997,162650386,CC1=CC(=C(C=C1)NC(=O)C2=CC=CC=C2NC(=O)C3=CC=C(C=C3)F)C4=CC=NC=C4,Unspecified,,,,50,CC50,>,50000,nM,
7,461525180,162650514,CC1=CC(=C(C=C1)NC(=O)C2=CC=CC=C2NC(=O)C3=CC=C(C=C3)F)C4=CN=CC=C4,Unspecified,,,,50,CC50,>,50000,nM,
8,461527893,162652386,CC1=CC=C(C=C1)NC(=O)C2=NC=CN=C2C(=O)NCC3=CC=C(C=C3)C4=CSC=C4,Unspecified,,,,117,CC50,>,117000,nM,
9,461528221,162652622,C1=CC=C(C(=C1)C(=O)NCC2=CC=C(C=C2)C3=CSC=C3)C(=O)NC4=CC=C(C=C4)F,Unspecified,,,,117,CC50,>,117000,nM,
10,461528593,162652877,CC1=CC(=C(C=C1)NC(=O)C2=NC=CN=C2C(=O)NC3=CC=C(C=C3)F)C4=CC=CS4,Unspecified,,,,116,CC50,>,116000,nM,
11,461528804,162653023,CC1=CC=C(C=C1)NC(=O)C2=CC=CC=C2C(=O)NC3=CC=CC=C3C4=NNC(=C4)C,Unspecified,,,,122,CC50,>,122000,nM,
12,461529664,162653656,CC1=CC=C(C=C1)NC(=O)C2=CC=CC=C2C(=O)NC3=C(C=C(C=C3)C)C4=NNC(=C4)C,Inconclusive,,,Potential missing data,,CC50,,,,Not Determined
13,461531137,162654667,CC1=CC=C(C=C1)NC(=O)C2=NC=CN=C2C(=O)NC3=C(C=C(C=C3)C)C4=CC=CS4,Inconclusive,,,Potential missing data,,CC50,,,,Not Determined
14,461531623,162655014,CC1=CC=C(C=C1)NC(=O)C2=CC=CC=C2C(=O)NC3=C(C=C(C=C3)C)C4=CC=C(S4)C,Unspecified,,,,23,CC50,=,23000,nM,
15,461533698,162656456,C1=CC=C(C(=C1)CNC(=O)C2=CC=CC=C2C(=O)NC3=CC=C(C=C3)F)C4=CSC=C4,Unspecified,,,,75,CC50,=,75000,nM,
16,461539331,162660468,CC1=CC(=NN1)C2=CC=CC=C2NC(=O)C3=CC=CC=C3C(=O)NC4=CC=C(C=C4)F,Unspecified,,,,120,CC50,>,120000,nM,
17,461540730,162661415,CC1=CC=C(C=C1)NC(=O)C2=NC=CN=C2C(=O)NC3=CC=CC=C3C4=NNC(=C4)C,Unspecified,,,,13.6,CC50,>,13600,nM,
18,461541238,162661765,CC1=CC(=C(C=C1)NC(=O)C2=NC=CN=C2C(=O)NC3=CC=C(C=C3)F)C4=CSC=C4,Unspecified,,,,116,CC50,>,116000,nM,
19,461541564,162662006,CC1=CC(=C(C=C1)NC(=O)C2=CC=CC=C2NC(=O)C3=CC=C(C=C3)F)C4=CC=C(S4)C,Unspecified,,,,113,CC50,>,113000,nM,
20,461545482,162664769,CC1=CC=C(C=C1)NC(=O)C2=NC=CN=C2C(=O)NC3=C(C=C(C=C3)C)C4=CSC=C4,Unspecified,,,,116,CC50,>,116000,nM,
21,461545709,162664923,CC1=CC(=C(C=C1)NC(=O)C2=CC=CC=C2C(=O)NC3=CC=C(C=C3)F)C4=CC=C(S4)C,Unspecified,,,,113,CC50,>,113000,nM,
22,461546306,162665332,CC1=CC=C(C=C1)NC(=O)C2=CC=CC=C2C(=O)NCC3=CC=CC=C3C4=CSC=C4,Unspecified,,,,61,CC50,=,61000,nM,
23,461548993,162667182,CC1=CC=C(C=C1)NC(=O)C2=NC=CN=C2C(=O)NC3=C(C=C(C=C3)C)C4=NNC(=C4)C,Inconclusive,,,Potential missing data,,CC50,,,,Not Determined
24,461549675,162667663,C1=CC(=CC=C1CNC(=O)C2=NC=CN=C2C(=O)NC3=CC=C(C=C3)F)C4=CSC=C4,Unspecified,,,,116,CC50,>,116000,nM,
25,461549904,162667823,CC1=CC=C(C=C1)NC(=O)C2=NC=CN=C2C(=O)NCC3=CC=CC=C3C4=CSC=C4,Unspecified,,,,75,CC50,=,75000,nM,
26,461550133,162667975,CC1=CC(=C(C=C1)NC(=O)C2=CC=CC=C2NC(=O)C3=CC=C(C=C3)F)C4=CSC=C4,Unspecified,,,,116,CC50,>,116000,nM,
27,461551311,162668809,CC1=CC=C(C=C1)NC(=O)C2=CC=CC=C2C(=O)NCC3=CC=C(C=C3)C4=CSC=C4,Unspecified,,,,117,CC50,>,117000,nM,
28,461554641,162671146,CC1=CC=C(C=C1)NC(=O)C2=CC=CC=C2C(=O)NC3=C(C=C(C=C3)C)C4=CSC=C4,Unspecified,,,,117,CC50,>,117000,nM,
29,461554671,162671164,CC1=CC(=C(C=C1)NC(=O)C2=NC=CN=C2C(=O)NC3=CC=C(C=C3)F)C4=NNC(=C4)C,Inconclusive,,,Potential missing data,,CC50,,,,Not Determined
