PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Standard Type,Standard Relation,PubChem Standard Value,IC50 Qualifier,IC50,Target Accession(s),Ligand,Target
RESULT_TYPE,,,,,,,,STRING,STRING,FLOAT,FLOAT,FLOAT,TARGET_NCBI_PROTEIN_ACCESSION,STRING,STRING
RESULT_DESCR,,,,,,,,"Standardized activity type (i.e. Ki, IC50, Kd, or EC50)","Qualifier (e.g. >, <, =) for PubChem Standard Value","PubChem standardized value transformed from the value of Ki, IC50, Kd, or EC50. The unit is always micromolar.","Qualifier (e.g. >, <, =) for IC50",,Protein accession(s) of target,BindingDB Ligand,BindingDB Target
RESULT_UNIT,,,,,,,,,,MICROMOLAR,,NANOMOLAR,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,,,TRUE,,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,TRUE,,,,,,
1,85266870,44246253,CC1CN=C(N1)C2=CC=C(C=C2)NC3=NN=C(C4=CC=CC=C43)NC5=CC=C(C=C5)C6=NCC(N6)C,Inactive,,,,IC50,,36.4,,36400,"P17763,P33478",BDBM33250,"Genome polyprotein [1393-1439,E1407V]/[1476-1660,R1508K,A1566M]"
2,85266870,44246253,CC1CN=C(N1)C2=CC=C(C=C2)NC3=NN=C(C4=CC=CC=C43)NC5=CC=C(C=C5)C6=NCC(N6)C,Inactive,,,,IC50,,17.5,,17500,"P27915,Q6YMS4",BDBM33250,"Genome polyprotein [1394-1440]/[1476-1660,T1585M]"
3,85266870,44246253,CC1CN=C(N1)C2=CC=C(C=C2)NC3=NN=C(C4=CC=CC=C43)NC5=CC=C(C=C5)C6=NCC(N6)C,Inactive,,,,IC50,,32.8,,32800,Q58HT7,BDBM33250,Genome polyprotein [1394-1440]/[1476-1660]
4,85266871,44246254,C1CN=C(N1)C2=CC=C(C=C2)NC3=NN=C(C4=CC=CC=C43)NC5=CC=C(C=C5)C6=CC=CC=C6,Active,,,,IC50,,2,,2000,"P17763,P33478",BDBM33251,"Genome polyprotein [1393-1439,E1407V]/[1476-1660,R1508K,A1566M]"
5,85266871,44246254,C1CN=C(N1)C2=CC=C(C=C2)NC3=NN=C(C4=CC=CC=C43)NC5=CC=C(C=C5)C6=CC=CC=C6,Active,,,,IC50,,1.6,,1600,"P27915,Q6YMS4",BDBM33251,"Genome polyprotein [1394-1440]/[1476-1660,T1585M]"
6,85266871,44246254,C1CN=C(N1)C2=CC=C(C=C2)NC3=NN=C(C4=CC=CC=C43)NC5=CC=C(C=C5)C6=CC=CC=C6,Active,,,,IC50,,2,,2000,Q58HT7,BDBM33251,Genome polyprotein [1394-1440]/[1476-1660]
7,85266872,44246255,C1CCC2C(C1)NC(=N2)C3=CC=C(C=C3)NC4=NN=C(C5=CC=CC=C54)NC6=CC=C(C=C6)C7=NC8CCCCC8N7,Inactive,,,,IC50,,10.7,,10700,"P17763,P33478",BDBM33252,"Genome polyprotein [1393-1439,E1407V]/[1476-1660,R1508K,A1566M]"
8,85266872,44246255,C1CCC2C(C1)NC(=N2)C3=CC=C(C=C3)NC4=NN=C(C5=CC=CC=C54)NC6=CC=C(C=C6)C7=NC8CCCCC8N7,Active,,,,IC50,,8.5,,8500,"P27915,Q6YMS4",BDBM33252,"Genome polyprotein [1394-1440]/[1476-1660,T1585M]"
9,85266872,44246255,C1CCC2C(C1)NC(=N2)C3=CC=C(C=C3)NC4=NN=C(C5=CC=CC=C54)NC6=CC=C(C=C6)C7=NC8CCCCC8N7,Inactive,,,,IC50,,13.6,,13600,Q58HT7,BDBM33252,Genome polyprotein [1394-1440]/[1476-1660]
10,85266873,44246256,C1CNCC2=C1C=CC(=C2)NC3=NN=C(C4=CC=CC=C43)NC5=CC=C(C=C5)C6=NCCN6,Inactive,,,,IC50,,233,,233000,"P17763,P33478",BDBM33253,"Genome polyprotein [1393-1439,E1407V]/[1476-1660,R1508K,A1566M]"
