PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Standard Type,Standard Relation,PubChem Standard Value,IC50 Qualifier,IC50,Kd,Target Accession(s),Ligand,Target
RESULT_TYPE,,,,,,,,STRING,STRING,FLOAT,FLOAT,FLOAT,FLOAT,TARGET_NCBI_PROTEIN_ACCESSION,STRING,STRING
RESULT_DESCR,,,,,,,,"Standardized activity type (i.e. Ki, IC50, Kd, or EC50)","Qualifier (e.g. >, <, =) for PubChem Standard Value","PubChem standardized value transformed from the value of Ki, IC50, Kd, or EC50. The unit is always micromolar.","Qualifier (e.g. >, <, =) for IC50",,,Protein accession(s) of target,BindingDB Ligand,BindingDB Target
RESULT_UNIT,,,,,,,,,,MICROMOLAR,,NANOMOLAR,NANOMOLAR,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,,,TRUE,,,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,TRUE,,,,,,,
1,85266870,44246253,CC1CN=C(N1)C2=CC=C(C=C2)NC3=NN=C(C4=CC=CC=C43)NC5=CC=C(C=C5)C6=NCC(N6)C,Active,,,,IC50,,6,,6000,7200,"P14340,P27914",BDBM33250,"Genome polyprotein [1066-1250,R1182K]/[1394-1440,K1405R,D1408E]"
2,85266870,44246253,CC1CN=C(N1)C2=CC=C(C=C2)NC3=NN=C(C4=CC=CC=C43)NC5=CC=C(C=C5)C6=NCC(N6)C,Inactive,,,,IC50,,24.5,,24500,21000,P06935,BDBM33250,Genome polyprotein [1424-1463]/[1502-1685]
3,85266871,44246254,C1CN=C(N1)C2=CC=C(C=C2)NC3=NN=C(C4=CC=CC=C43)NC5=CC=C(C=C5)C6=CC=CC=C6,Active,,,,IC50,,2.3,,2300,,"P14340,P27914",BDBM33251,"Genome polyprotein [1066-1250,R1182K]/[1394-1440,K1405R,D1408E]"
4,85266871,44246254,C1CN=C(N1)C2=CC=C(C=C2)NC3=NN=C(C4=CC=CC=C43)NC5=CC=C(C=C5)C6=CC=CC=C6,Active,,,,IC50,,3.6,,3600,,P06935,BDBM33251,Genome polyprotein [1424-1463]/[1502-1685]
5,85266872,44246255,C1CCC2C(C1)NC(=N2)C3=CC=C(C=C3)NC4=NN=C(C5=CC=CC=C54)NC6=CC=C(C=C6)C7=NC8CCCCC8N7,Active,,,,IC50,,1.1,,1100,7700,"P14340,P27914",BDBM33252,"Genome polyprotein [1066-1250,R1182K]/[1394-1440,K1405R,D1408E]"
6,85266872,44246255,C1CCC2C(C1)NC(=N2)C3=CC=C(C=C3)NC4=NN=C(C5=CC=CC=C54)NC6=CC=C(C=C6)C7=NC8CCCCC8N7,Inactive,,,,IC50,,22,,22000,90000,P06935,BDBM33252,Genome polyprotein [1424-1463]/[1502-1685]
7,85266873,44246256,C1CNCC2=C1C=CC(=C2)NC3=NN=C(C4=CC=CC=C43)NC5=CC=C(C=C5)C6=NCCN6,Inactive,,,,IC50,,27.4,,27400,22900,"P14340,P27914",BDBM33253,"Genome polyprotein [1066-1250,R1182K]/[1394-1440,K1405R,D1408E]"
8,85266873,44246256,C1CNCC2=C1C=CC(=C2)NC3=NN=C(C4=CC=CC=C43)NC5=CC=C(C=C5)C6=NCCN6,Active,,,,IC50,,5.2,,5200,4600,P06935,BDBM33253,Genome polyprotein [1424-1463]/[1502-1685]
