PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Standard Type,Standard Relation,PubChem Standard Value,IC50 Qualifier,IC50,EC50 Qualifier,EC50,Target Accession(s),Ligand,Target
RESULT_TYPE,,,,,,,,STRING,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,TARGET_NCBI_PROTEIN_ACCESSION,STRING,STRING
RESULT_DESCR,,,,,,,,"Standardized activity type (i.e. Ki, IC50, Kd, or EC50)","Qualifier (e.g. >, <, =) for PubChem Standard Value","PubChem standardized value transformed from the value of Ki, IC50, Kd, or EC50. The unit is always micromolar.","Qualifier (e.g. >, <, =) for IC50",,"Qualifier (e.g. >, <, =) for EC50",,Protein accession(s) of target,BindingDB Ligand,BindingDB Target
RESULT_UNIT,,,,,,,,,,MICROMOLAR,,NANOMOLAR,,NANOMOLAR,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,,,TRUE,,,,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,TRUE,,,,,,,,
1,341093171,129625724,C1C[C@@]2([C@@H](C(OC2N3CCC(=O)NC3=O)CO)O)OC1,Inactive,,,,EC50,>,100,,,>,100000,Q9WMX2,BDBM240838,Genome polyprotein [2420-3010]
2,341093171,129625724,C1C[C@@]2([C@@H](C(OC2N3CCC(=O)NC3=O)CO)O)OC1,Inactive,,,,EC50,>,100,,,>,100000,Q9WMX2,BDBM240838,Genome polyprotein [2420-3010]
3,341093172,67962105,C1C[C@@]2([C@@H](C(OC2N3C=CC(=NC3=O)N)CO)O)OC1,Inactive,,,,EC50,>,100,,,>,100000,Q9WMX2,BDBM240839,Genome polyprotein [2420-3010]
4,341093172,67962105,C1C[C@@]2([C@@H](C(OC2N3C=CC(=NC3=O)N)CO)O)OC1,Inactive,,,,EC50,>,100,,,>,100000,Q9WMX2,BDBM240839,Genome polyprotein [2420-3010]
5,341093173,129625725,C1CN(C(=O)NC1=O)[C@H]2[C@]3(CCO3)[C@@H]([C@H](O2)CO)O,Inactive,,,,EC50,>,100,,,>,100000,Q9WMX2,BDBM240840,Genome polyprotein [2420-3010]
6,341093174,67962118,C1CO[C@]12[C@@H](C(OC2N3C=CC(=NC3=O)N)CO)O,Inactive,,,,EC50,>,100,,,>,100000,Q9WMX2,BDBM240841,Genome polyprotein [2420-3010]
7,341093174,67962118,C1CO[C@]12[C@@H](C(OC2N3C=CC(=NC3=O)N)CO)O,Inactive,,,,EC50,>,100,,,>,100000,Q9WMX2,BDBM240841,Genome polyprotein [2420-3010]
8,341093175,129625726,C1C[C@]2(C(C(OC2N3CCC(=O)NC3=O)CO)O)OC1,Inactive,,,,EC50,>,100,,,>,100000,Q9WMX2,BDBM240842,Genome polyprotein [2420-3010]
9,341093176,67962117,C1C[C@]2([C@@H](C(OC2N3C=CC(=NC3=O)N)CO)O)OC1,Inactive,,,,EC50,>,100,,,>,100000,Q9WMX2,BDBM240843,Genome polyprotein [2420-3010]
10,341093176,67962117,C1C[C@]2([C@@H](C(OC2N3C=CC(=NC3=O)N)CO)O)OC1,Inactive,,,,EC50,>,45.3,,,>,45300,Q9WMX2,BDBM240843,Genome polyprotein [2420-3010]
11,341093176,67962117,C1C[C@]2([C@@H](C(OC2N3C=CC(=NC3=O)N)CO)O)OC1,Inactive,,,,IC50,>,100,>,100000,,,Q9WMX2,BDBM240843,"Genome polyprotein [2420-3010,S282T]"
12,341093177,129625727,C1CN(C(=O)NC1=O)C2[C@@]3(CCO3)[C@@H](C(O2)CO)O,Inactive,,,,EC50,>,100,,,>,100000,Q9WMX2,BDBM240844,Genome polyprotein [2420-3010]
13,341093177,129625727,C1CN(C(=O)NC1=O)C2[C@@]3(CCO3)[C@@H](C(O2)CO)O,Inactive,,,,EC50,,39.4,,,,39400,Q9WMX2,BDBM240844,Genome polyprotein [2420-3010]
14,341093177,129625727,C1CN(C(=O)NC1=O)C2[C@@]3(CCO3)[C@@H](C(O2)CO)O,Inactive,,,,IC50,>,100,>,100000,,,Q9WMX2,BDBM240844,"Genome polyprotein [2420-3010,S282T]"
15,341093178,67962098,C1CO[C@@]12[C@@H](C(OC2N3C=CC(=NC3=O)N)CO)O,Inactive,,,,EC50,>,54.49,,,>,54490,Q9WMX2,BDBM240845,Genome polyprotein [2420-3010]
16,341093178,67962098,C1CO[C@@]12[C@@H](C(OC2N3C=CC(=NC3=O)N)CO)O,Unspecified,,,,EC50,>,8.48,,,>,8480,Q9WMX2,BDBM240845,Genome polyprotein [2420-3010]
17,341093178,67962098,C1CO[C@@]12[C@@H](C(OC2N3C=CC(=NC3=O)N)CO)O,Inactive,,,,IC50,,56.7,,56700,,,Q9WMX2,BDBM240845,"Genome polyprotein [2420-3010,S282T]"
18,341093179,67962112,COC1=NC(=NC2=C1N=CN2C3[C@]4(CCCO4)[C@@H](C(O3)CO)O)N,Inactive,,,,EC50,>,20,,,>,20000,Q9WMX2,BDBM240846,Genome polyprotein [2420-3010]
19,341093180,67962106,COC1=NC(=NC2=C1N=CN2C3[C@@]4(CCCO4)[C@@H](C(O3)CO)O)N,Inactive,,,,EC50,>,20,,,>,20000,Q9WMX2,BDBM240847,Genome polyprotein [2420-3010]
20,341093181,67962103,COC1=NC(=NC2=C1N=CN2C3[C@@]4(CCO4)[C@@H](C(O3)CO)O)N,Inactive,,,,EC50,>,100,,,>,100000,Q9WMX2,BDBM240848,Genome polyprotein [2420-3010]
21,341093182,129625728,C1CO[C@@]12[C@@H](C(OC2N3C=NC4C3=NC(=NC4=O)N)CO)O,Inactive,,,,EC50,>,20,,,>,20000,Q9WMX2,BDBM240849,Genome polyprotein [2420-3010]
22,341093183,129625729,COC1=NC(=NC2=C1N=CN2C3[C@]4(CCO4)[C@@H]([C@H](O3)CO)O)N,Inactive,,,,EC50,>,20,,,>,20000,Q9WMX2,BDBM240850,Genome polyprotein [2420-3010]
