PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Standard Type,PubChem Standard Value,EC50,Target Accession(s),Ligand,Target
RESULT_TYPE,,,,,,,,STRING,FLOAT,FLOAT,TARGET_NCBI_PROTEIN_ACCESSION,STRING,STRING
RESULT_DESCR,,,,,,,,"Standardized activity type (i.e. Ki, IC50, Kd, or EC50)","PubChem standardized value transformed from the value of Ki, IC50, Kd, or EC50. The unit is always micromolar.",,Protein accession(s) of target,BindingDB Ligand,BindingDB Target
RESULT_UNIT,,,,,,,,,MICROMOLAR,NANOMOLAR,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,,TRUE,,,,
1,494493291,5090648,COC1=C(C=C2C(=C1)C3=C(CN4CCCC4C3)C5=CC(=C(C=C52)OC)OC)OC,Active,,,,EC50,0.0184,18.4,P17763,BDBM648426,Genome polyprotein
2,494493291,5090648,COC1=C(C=C2C(=C1)C3=C(CN4CCCC4C3)C5=CC(=C(C=C52)OC)OC)OC,Active,,,,EC50,0.0325,32.5,P29991,BDBM648426,Genome polyprotein
3,494493292,71455581,CCN1CC(C2=C(C1)C3=CC(=C(C=C3C4=C2C=CC(=C4)OC)OC)OC)O,Active,,,,EC50,0.0043,4.3,P17763,BDBM648427,Genome polyprotein
4,494493292,71455581,CCN1CC(C2=C(C1)C3=CC(=C(C=C3C4=C2C=CC(=C4)OC)OC)OC)O,Active,,,,EC50,0.0047,4.7,P29991,BDBM648427,Genome polyprotein
5,494493293,162696912,CCN1CC2=C(C(C1C)O)C3=C(C=C(C=C3)OC)C4=CC(=C(C=C24)OC)OC,Active,,,,EC50,0.0196,19.6,P17763,BDBM648428,Genome polyprotein
6,494493293,162696912,CCN1CC2=C(C(C1C)O)C3=C(C=C(C=C3)OC)C4=CC(=C(C=C24)OC)OC,Active,,,,EC50,0.029,29,P29991,BDBM648428,Genome polyprotein
7,494493294,11848155,COC1=C(C=C2C(=C1)C3=C(CN4CCCCC4C3)C5=CC(=C(C=C52)OC)OC)OC,Active,,,,EC50,0.0076,7.6,P17763,BDBM648429,Genome polyprotein
8,494493294,11848155,COC1=C(C=C2C(=C1)C3=C(CN4CCCCC4C3)C5=CC(=C(C=C52)OC)OC)OC,Active,,,,EC50,0.0083,8.3,P29991,BDBM648429,Genome polyprotein
9,494493295,53302428,CCN1CCC2=C(C1)C3=CC(=C(C=C3C4=C2C=CC(=C4)OC)OC)OC,Active,,,,EC50,0.131,131,P17763,BDBM648430,Genome polyprotein
10,494493295,53302428,CCN1CCC2=C(C1)C3=CC(=C(C=C3C4=C2C=CC(=C4)OC)OC)OC,Active,,,,EC50,0.286,286,P29991,BDBM648430,Genome polyprotein
11,494493296,46872398,COC1=C(C=C2C(=C1)C3=C(C[N+]4(CCCC4C3)[O-])C5=CC(=C(C=C52)OC)OC)OC,Active,,,,EC50,1.638,1638,P17763,BDBM648431,Genome polyprotein
12,494493296,46872398,COC1=C(C=C2C(=C1)C3=C(C[N+]4(CCCC4C3)[O-])C5=CC(=C(C=C52)OC)OC)OC,Active,,,,EC50,2.641,2641,P29991,BDBM648431,Genome polyprotein
13,494493297,53302538,CCN1CC(C2=C(C1)C3=CC(=C(C=C3C4=CC(=C(C=C42)OC)OC)OC)OC)O,Active,,,,EC50,0.0731,73.1,P17763,BDBM648432,Genome polyprotein
14,494493297,53302538,CCN1CC(C2=C(C1)C3=CC(=C(C=C3C4=CC(=C(C=C42)OC)OC)OC)OC)O,Active,,,,EC50,0.124,124,P29991,BDBM648432,Genome polyprotein
15,494493297,53302538,CCN1CC(C2=C(C1)C3=CC(=C(C=C3C4=CC(=C(C=C42)OC)OC)OC)OC)O,Active,,,,EC50,0.296,296,P17763,BDBM648432,Genome polyprotein
16,494493297,53302538,CCN1CC(C2=C(C1)C3=CC(=C(C=C3C4=CC(=C(C=C42)OC)OC)OC)OC)O,Active,,,,EC50,0.616,616,P29991,BDBM648432,Genome polyprotein
17,494493298,53302539,CCCN1CC(C2=C(C1)C3=CC(=C(C=C3C4=CC(=C(C=C42)OC)OC)OC)OC)O,Active,,,,EC50,0.247,247,P17763,BDBM648433,Genome polyprotein
18,494493298,53302539,CCCN1CC(C2=C(C1)C3=CC(=C(C=C3C4=CC(=C(C=C42)OC)OC)OC)OC)O,Active,,,,EC50,0.617,617,P29991,BDBM648433,Genome polyprotein
