PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Text Value,Standard Units,Activity Comment,Data Validity Comment
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING,STRING,STRING,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Standardized version of non-numeric measurement,Selected units for 'Standard Type': e.g. concentrations are in nM,Additional comments,Comment reflecting whether the values for this activity measurement are likely to be correct
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,,,,
1,103704476,655490,COC1=CC=C(C=C1)S(=O)(=O)N2C(=CC(=N2)OC(=O)C3=CC=CC=C3)N,Active,,,,2.53,IC50,=,2530,,nM,"Scaffold Is Likely Acting Through Covalent Inhibition, Given Evidence In 10.1016/J.Str.2018.02.005",
2,103704476,655490,COC1=CC=C(C=C1)S(=O)(=O)N2C(=CC(=N2)OC(=O)C3=CC=CC=C3)N,Active,,,,2.172,IC50,=,2172,,nM,"Scaffold Is Likely Acting Through Covalent Inhibition, Given Evidence In 10.1016/J.Str.2018.02.005",
3,103704476,655490,COC1=CC=C(C=C1)S(=O)(=O)N2C(=CC(=N2)OC(=O)C3=CC=CC=C3)N,Active,,,,3.946,IC50,=,3946,,nM,"Scaffold Is Likely Acting Through Covalent Inhibition, Given Evidence In 10.1016/J.Str.2018.02.005",
4,103704476,655490,COC1=CC=C(C=C1)S(=O)(=O)N2C(=CC(=N2)OC(=O)C3=CC=CC=C3)N,Active,,,,3.074,IC50,=,3074,,nM,"Scaffold Is Likely Acting Through Covalent Inhibition, Given Evidence In 10.1016/J.Str.2018.02.005",
5,103704476,655490,COC1=CC=C(C=C1)S(=O)(=O)N2C(=CC(=N2)OC(=O)C3=CC=CC=C3)N,Active,,,,2.234,IC50,=,2234,,nM,"Scaffold Is Likely Acting Through Covalent Inhibition, Given Evidence In 10.1016/J.Str.2018.02.005",
6,103704476,655490,COC1=CC=C(C=C1)S(=O)(=O)N2C(=CC(=N2)OC(=O)C3=CC=CC=C3)N,Active,,,,3.291,IC50,=,3291,,nM,"Scaffold Is Likely Acting Through Covalent Inhibition, Given Evidence In 10.1016/J.Str.2018.02.005",
7,103704476,655490,COC1=CC=C(C=C1)S(=O)(=O)N2C(=CC(=N2)OC(=O)C3=CC=CC=C3)N,Active,,,,3.813,IC50,=,3813,,nM,"Scaffold Is Likely Acting Through Covalent Inhibition, Given Evidence In 10.1016/J.Str.2018.02.005",
8,103704476,655490,COC1=CC=C(C=C1)S(=O)(=O)N2C(=CC(=N2)OC(=O)C3=CC=CC=C3)N,Active,,,,2.284,IC50,=,2284,,nM,"Scaffold Is Likely Acting Through Covalent Inhibition, Given Evidence In 10.1016/J.Str.2018.02.005",
9,103704476,655490,COC1=CC=C(C=C1)S(=O)(=O)N2C(=CC(=N2)OC(=O)C3=CC=CC=C3)N,Active,,,,3.069,IC50,=,3069,,nM,"Scaffold Is Likely Acting Through Covalent Inhibition, Given Evidence In 10.1016/J.Str.2018.02.005",
10,336889294,127039816,C1=CC(=CC=C1COC2=CC=C(C=C2)[C@H](C(=O)N)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCN=C(N)N)NC(=O)C3=NC=CS3)C(F)(F)F,Active,,,,1.46,IC50,=,1460,,nM,,
11,336889294,127039816,C1=CC(=CC=C1COC2=CC=C(C=C2)[C@H](C(=O)N)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCN=C(N)N)NC(=O)C3=NC=CS3)C(F)(F)F,Active,,,,1.865,IC50,=,1865,,nM,,
