PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Standard Type,Standard Relation,Standard Value,Standard Units,Activity Comment,Data Validity Comment
RESULT_TYPE,,,,,,,,STRING,STRING,FLOAT,STRING,STRING,STRING
RESULT_DESCR,,,,,,,,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM,Additional comments,Comment reflecting whether the values for this activity measurement are likely to be correct
1,103247469,21454,C1CCN(CC1)CC2=CNC3=CC=CC=C32,Unspecified,,,,Inhibition (mean),=,-1.232,%,,
2,103247469,21454,C1CCN(CC1)CC2=CNC3=CC=CC=C32,Unspecified,,,,Inhibition (mean),=,-2.99,%,,
3,103247469,21454,C1CCN(CC1)CC2=CNC3=CC=CC=C32,Unspecified,,,,Inhibition (mean),=,-4.489,%,,
4,103551198,1712511,C1COCCN1C(=O)C(=O)C2=CNC3=CC=CC=C32,Unspecified,,,,Inhibition (mean),=,3.545,%,,
5,103551198,1712511,C1COCCN1C(=O)C(=O)C2=CNC3=CC=CC=C32,Unspecified,,,,Inhibition (mean),=,1.612,%,,
6,103551198,1712511,C1COCCN1C(=O)C(=O)C2=CNC3=CC=CC=C32,Unspecified,,,,Inhibition (mean),=,0.9,%,,
7,103704476,655490,COC1=CC=C(C=C1)S(=O)(=O)N2C(=CC(=N2)OC(=O)C3=CC=CC=C3)N,Unspecified,,,,Inhibition (mean),=,96.9,%,"Scaffold Is Likely Acting Through Covalent Inhibition, Given Evidence In 10.1016/J.Str.2018.02.005",
8,103704476,655490,COC1=CC=C(C=C1)S(=O)(=O)N2C(=CC(=N2)OC(=O)C3=CC=CC=C3)N,Unspecified,,,,Inhibition (mean),=,96.87,%,"Scaffold Is Likely Acting Through Covalent Inhibition, Given Evidence In 10.1016/J.Str.2018.02.005",
9,103704476,655490,COC1=CC=C(C=C1)S(=O)(=O)N2C(=CC(=N2)OC(=O)C3=CC=CC=C3)N,Unspecified,,,,Inhibition (mean),=,96.42,%,"Scaffold Is Likely Acting Through Covalent Inhibition, Given Evidence In 10.1016/J.Str.2018.02.005",
10,136925936,57393002,C1=CC=C(C=C1)OC2=CC=CC=C2NC(=O)CN3C=C(N=N3)COC4=CC=CC(=C4)NC(=O)CN5C(=O)C6=CC=CC=C6S5,Unspecified,,,,Inhibition (mean),=,9.785,%,,
11,136925936,57393002,C1=CC=C(C=C1)OC2=CC=CC=C2NC(=O)CN3C=C(N=N3)COC4=CC=CC(=C4)NC(=O)CN5C(=O)C6=CC=CC=C6S5,Unspecified,,,,Inhibition (mean),=,9.162,%,,
12,136925936,57393002,C1=CC=C(C=C1)OC2=CC=CC=C2NC(=O)CN3C=C(N=N3)COC4=CC=CC(=C4)NC(=O)CN5C(=O)C6=CC=CC=C6S5,Unspecified,,,,Inhibition (mean),=,3.698,%,,
13,194166104,72723356,CC(C)(C)OC(=O)N[C@@H](CCSC)C(=O)N1CCC[C@H]1C(=O)NC2=CC=C(C=C2)[N+](=O)[O-],Unspecified,,,,Inhibition (mean),=,29.27,%,,
14,194166104,72723356,CC(C)(C)OC(=O)N[C@@H](CCSC)C(=O)N1CCC[C@H]1C(=O)NC2=CC=C(C=C2)[N+](=O)[O-],Unspecified,,,,Inhibition (mean),=,17.13,%,,
15,194166104,72723356,CC(C)(C)OC(=O)N[C@@H](CCSC)C(=O)N1CCC[C@H]1C(=O)NC2=CC=C(C=C2)[N+](=O)[O-],Unspecified,,,,Inhibition (mean),=,10.26,%,,
16,194186608,10406595,CSCC[C@@H](C(=O)N1CCC[C@H]1C(=O)NC2=CC=C(C=C2)[N+](=O)[O-])N,Unspecified,,,,Inhibition (mean),=,14.52,%,,
17,194186608,10406595,CSCC[C@@H](C(=O)N1CCC[C@H]1C(=O)NC2=CC=C(C=C2)[N+](=O)[O-])N,Unspecified,,,,Inhibition (mean),=,6.965,%,,
18,194186608,10406595,CSCC[C@@H](C(=O)N1CCC[C@H]1C(=O)NC2=CC=C(C=C2)[N+](=O)[O-])N,Unspecified,,,,Inhibition (mean),=,27.1,%,,
19,242333749,3378440,C1=CC(=C2C(=C1[N+](=O)[O-])C(=O)C3=C(C=CC(=C3C2=O)O)[N+](=O)[O-])O,Unspecified,,,,Inhibition (mean),=,27.84,%,,
20,242333749,3378440,C1=CC(=C2C(=C1[N+](=O)[O-])C(=O)C3=C(C=CC(=C3C2=O)O)[N+](=O)[O-])O,Unspecified,,,,Inhibition (mean),=,5.077,%,,
21,242376682,2672993,COC1=CC=C(C=C1)S(=O)(=O)N2CCC(CC2)C(=O)NC3=NC=CS3,Unspecified,,,,Inhibition (mean),=,-0.384,%,,
22,242376682,2672993,COC1=CC=C(C=C1)S(=O)(=O)N2CCC(CC2)C(=O)NC3=NC=CS3,Unspecified,,,,Inhibition (mean),=,-0.402,%,,
23,242376682,2672993,COC1=CC=C(C=C1)S(=O)(=O)N2CCC(CC2)C(=O)NC3=NC=CS3,Unspecified,,,,Inhibition (mean),=,-0.799,%,,
24,242528450,401020,C1CN(CCC1(C2=CC=CC=C2)O)CC3=CNC4=CC=CC=C43,Unspecified,,,,Inhibition (mean),=,-1.949,%,,
25,242528450,401020,C1CN(CCC1(C2=CC=CC=C2)O)CC3=CNC4=CC=CC=C43,Unspecified,,,,Inhibition (mean),=,-1.95,%,,
26,242528450,401020,C1CN(CCC1(C2=CC=CC=C2)O)CC3=CNC4=CC=CC=C43,Unspecified,,,,Inhibition (mean),=,-2.616,%,,
27,336889294,127039816,C1=CC(=CC=C1COC2=CC=C(C=C2)[C@H](C(=O)N)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCN=C(N)N)NC(=O)C3=NC=CS3)C(F)(F)F,Unspecified,,,,Inhibition (mean),=,91.09,%,,
