PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Standard Type,Standard Relation,Standard Value,Standard Units,Data Validity Comment
RESULT_TYPE,,,,,,,,STRING,STRING,FLOAT,STRING,STRING
RESULT_DESCR,,,,,,,,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM,Comment reflecting whether the values for this activity measurement are likely to be correct
1,242194387,3248847,C1=CC=C2C(=C1)N=CC(=N2)SCC3=CN4C=CC=CC4=N3,Unspecified,,,,Inhibition,=,30.91,%,
2,242194387,3248847,C1=CC=C2C(=C1)N=CC(=N2)SCC3=CN4C=CC=CC4=N3,Unspecified,,,,Inhibition,=,7.184,%,
3,242194387,3248847,C1=CC=C2C(=C1)N=CC(=N2)SCC3=CN4C=CC=CC4=N3,Unspecified,,,,Inhibition,=,10.21,%,
4,242194387,3248847,C1=CC=C2C(=C1)N=CC(=N2)SCC3=CN4C=CC=CC4=N3,Unspecified,,,,Inhibition,=,-5.606,%,
5,336889294,127039816,C1=CC(=CC=C1COC2=CC=C(C=C2)[C@H](C(=O)N)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCN=C(N)N)NC(=O)C3=NC=CS3)C(F)(F)F,Unspecified,,,,Inhibition (mean),=,89.52,%,
6,336889294,127039816,C1=CC(=CC=C1COC2=CC=C(C=C2)[C@H](C(=O)N)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCN=C(N)N)NC(=O)C3=NC=CS3)C(F)(F)F,Unspecified,,,,Inhibition (mean),=,69.82,%,
7,336889294,127039816,C1=CC(=CC=C1COC2=CC=C(C=C2)[C@H](C(=O)N)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCN=C(N)N)NC(=O)C3=NC=CS3)C(F)(F)F,Unspecified,,,,Inhibition (mean),=,36.55,%,
8,336889294,127039816,C1=CC(=CC=C1COC2=CC=C(C=C2)[C@H](C(=O)N)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCN=C(N)N)NC(=O)C3=NC=CS3)C(F)(F)F,Unspecified,,,,Inhibition (mean),=,12.5,%,
9,336889294,127039816,C1=CC(=CC=C1COC2=CC=C(C=C2)[C@H](C(=O)N)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCN=C(N)N)NC(=O)C3=NC=CS3)C(F)(F)F,Unspecified,,,,Inhibition (mean),=,-3.849,%,
10,336889294,127039816,C1=CC(=CC=C1COC2=CC=C(C=C2)[C@H](C(=O)N)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCN=C(N)N)NC(=O)C3=NC=CS3)C(F)(F)F,Unspecified,,,,Inhibition (mean),=,-14.72,%,
11,374296293,134139660,B([C@H](CCCN=C(N)N)NC(=O)[C@H](CC1=CC=C(C=C1)CN)NC(=O)C2=CC=CC=C2)(O)O,Unspecified,,,,Inhibition (mean),=,98.46,%,
12,374296293,134139660,B([C@H](CCCN=C(N)N)NC(=O)[C@H](CC1=CC=C(C=C1)CN)NC(=O)C2=CC=CC=C2)(O)O,Unspecified,,,,Inhibition (mean),=,97.38,%,
13,374296293,134139660,B([C@H](CCCN=C(N)N)NC(=O)[C@H](CC1=CC=C(C=C1)CN)NC(=O)C2=CC=CC=C2)(O)O,Unspecified,,,,Inhibition (mean),=,91.6,%,
14,374296293,134139660,B([C@H](CCCN=C(N)N)NC(=O)[C@H](CC1=CC=C(C=C1)CN)NC(=O)C2=CC=CC=C2)(O)O,Unspecified,,,,Inhibition (mean),=,73.16,%,
15,374296293,134139660,B([C@H](CCCN=C(N)N)NC(=O)[C@H](CC1=CC=C(C=C1)CN)NC(=O)C2=CC=CC=C2)(O)O,Unspecified,,,,Inhibition (mean),=,39.2,%,
16,374296293,134139660,B([C@H](CCCN=C(N)N)NC(=O)[C@H](CC1=CC=C(C=C1)CN)NC(=O)C2=CC=CC=C2)(O)O,Unspecified,,,,Inhibition (mean),=,13.16,%,
17,469879910,136558582,C1CN(CCC1C2=CC=CC=N2)CC3=CC4=NC=CN=C4C=C3,Unspecified,,,,Inhibition,=,-1.294,%,
18,469879910,136558582,C1CN(CCC1C2=CC=CC=N2)CC3=CC4=NC=CN=C4C=C3,Unspecified,,,,Inhibition,=,-6.132,%,
19,469879910,136558582,C1CN(CCC1C2=CC=CC=N2)CC3=CC4=NC=CN=C4C=C3,Unspecified,,,,Inhibition,=,3.525,%,
20,469879910,136558582,C1CN(CCC1C2=CC=CC=N2)CC3=CC4=NC=CN=C4C=C3,Unspecified,,,,Inhibition,=,-8.132,%,
21,494426908,132305662,C1CN(CCN1CC2=CC3=C(C=C2)C=NN3)C4=NC=CC5=C4C=CS5,Unspecified,,,,Inhibition,=,-0.953,%,
22,494426908,132305662,C1CN(CCN1CC2=CC3=C(C=C2)C=NN3)C4=NC=CC5=C4C=CS5,Unspecified,,,,Inhibition,=,-13.31,%,Outside typical range
23,494426908,132305662,C1CN(CCN1CC2=CC3=C(C=C2)C=NN3)C4=NC=CC5=C4C=CS5,Unspecified,,,,Inhibition,=,8.61,%,
24,494426908,132305662,C1CN(CCN1CC2=CC3=C(C=C2)C=NN3)C4=NC=CC5=C4C=CS5,Unspecified,,,,Inhibition,=,-15.01,%,Outside typical range
25,520054135,57920419,C1=CC2=C(C(=C(S2)C(=O)O)Br)N=C1,Unspecified,,,,Inhibition,=,2.093,%,
26,520054135,57920419,C1=CC2=C(C(=C(S2)C(=O)O)Br)N=C1,Unspecified,,,,Inhibition,=,-10.53,%,Outside typical range
27,520054135,57920419,C1=CC2=C(C(=C(S2)C(=O)O)Br)N=C1,Unspecified,,,,Inhibition,=,12.01,%,
28,520054135,57920419,C1=CC2=C(C(=C(S2)C(=O)O)Br)N=C1,Unspecified,,,,Inhibition,=,-8.71,%,
29,520054139,121583691,C1=CC=C(C=C1)OCCS(=O)(=O)C2=NC=CS2,Unspecified,,,,Inhibition,=,-11.12,%,Outside typical range
30,520054139,121583691,C1=CC=C(C=C1)OCCS(=O)(=O)C2=NC=CS2,Unspecified,,,,Inhibition,=,-11.35,%,Outside typical range
31,520054139,121583691,C1=CC=C(C=C1)OCCS(=O)(=O)C2=NC=CS2,Unspecified,,,,Inhibition,=,-2.799,%,
32,520054139,121583691,C1=CC=C(C=C1)OCCS(=O)(=O)C2=NC=CS2,Unspecified,,,,Inhibition,=,-5.023,%,
33,520054167,128849760,CN1C(=NC=N1)SC2=NC(=NS2)C3CCCC3,Unspecified,,,,Inhibition,=,3.958,%,
34,520054167,128849760,CN1C(=NC=N1)SC2=NC(=NS2)C3CCCC3,Unspecified,,,,Inhibition,=,-9.352,%,
35,520054167,128849760,CN1C(=NC=N1)SC2=NC(=NS2)C3CCCC3,Unspecified,,,,Inhibition,=,5.267,%,
36,520054167,128849760,CN1C(=NC=N1)SC2=NC(=NS2)C3CCCC3,Unspecified,,,,Inhibition,=,-3.657,%,
37,520055915,97236396,C1=CSC(=C1)C2=NOC(=N2)C[S@](=O)C3=CC=CS3,Unspecified,,,,Inhibition,=,5.816,%,
38,520055915,97236396,C1=CSC(=C1)C2=NOC(=N2)C[S@](=O)C3=CC=CS3,Unspecified,,,,Inhibition,=,-21.48,%,Outside typical range
39,520055915,97236396,C1=CSC(=C1)C2=NOC(=N2)C[S@](=O)C3=CC=CS3,Unspecified,,,,Inhibition,=,3.976,%,
40,520055915,97236396,C1=CSC(=C1)C2=NOC(=N2)C[S@](=O)C3=CC=CS3,Unspecified,,,,Inhibition,=,0.907,%,
41,520056901,167966443,C1=C(N=CO1)CNCC2=CSC(=N2)C(F)(F)F,Unspecified,,,,Inhibition,=,-3.735,%,
42,520056901,167966443,C1=C(N=CO1)CNCC2=CSC(=N2)C(F)(F)F,Unspecified,,,,Inhibition,=,-9.44,%,
43,520056901,167966443,C1=C(N=CO1)CNCC2=CSC(=N2)C(F)(F)F,Unspecified,,,,Inhibition,=,1.673,%,
44,520056901,167966443,C1=C(N=CO1)CNCC2=CSC(=N2)C(F)(F)F,Unspecified,,,,Inhibition,=,-15.22,%,Outside typical range
45,520057908,121530707,C1CN(CCC1N2C=C(C=N2)Br)CC3=CSN=N3,Unspecified,,,,Inhibition,=,5.635,%,
