PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Standard Type,Standard Relation,Standard Value
RESULT_TYPE,,,,,,,,STRING,STRING,FLOAT
RESULT_DESCR,,,,,,,,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM
1,103314508,441597,C1OC2=C(O1)C(=C3C(=C2)[C@@H]4[C@H]([C@@H]([C@@H]([C@H]([C@@H]4O)O)O)O)NC3=O)O,Unspecified,,,,TI,=,4.9
2,103314539,443741,C1OC2=C(O1)C=C3C(=C2)[C@@H]4[C@H]([C@@H]([C@@H]([C@H]([C@@H]4O)O)O)O)NC3=O,Unspecified,,,,TI,=,6.6
3,103314540,72376,C1OC2=C(O1)C(=C3C(=C2)C4=C[C@@H]([C@H]([C@H]([C@@H]4NC3=O)O)O)O)O,Unspecified,,,,TI,=,6.1
4,103558810,72378,C1CN2CC3=CC4=C(C=C3[C@H]5[C@H]2C1=C[C@@H]([C@H]5O)O)OCO4,Unspecified,,,,TI,=,7.3
5,103558814,454239,C1[C@H]2[C@H]([C@@H]([C@@H]([C@H]1O)O)O)NC(=O)C3=CC4=C(C=C23)OCO4,Unspecified,,,,TI,=,7.5
6,103581446,73065,C1OC2=C(O1)C=C3C(=C2)C4=C[C@@H]([C@H]([C@H]([C@@H]4NC3=O)O)O)O,Unspecified,,,,TI,=,5.6
7,103600602,101204,C1[C@H]2[C@H]([C@@H]([C@@H]([C@H]1O)O)O)NC(=O)C3=C(C4=C(C=C23)OCO4)O,Unspecified,,,,TI,>,8.5
8,103600604,3000372,C1[C@@H]2[C@H]([C@@H]([C@@H]([C@H]1O)O)O)NC(=O)C3=C(C4=C(C=C23)OCO4)O,Unspecified,,,,TI,=,3.9
9,103638633,44584627,CC(=O)O[C@H]1[C@@H]([C@H]2[C@H]([C@@H]([C@@H]1O)O)NC(=O)C3=CC4=C(C=C23)OCO4)O,Unspecified,,,,TI,=,4.3
10,103638641,10950890,CC(=O)O[C@@H]1[C@H]2[C@H]([C@@H]([C@@H]([C@H]1OC(=O)C)OC(=O)C)OC(=O)C)NC(=O)C3=CC4=C(C=C23)OCO4,Unspecified,,,,TI,=,3.8
11,103638642,44584630,CC(=O)O[C@H]1[C@H]2[C@H]([C@H]([C@@H]([C@H]1OC(=O)C)OC(=O)C)O)C3=CC4=C(C=C3C(=O)N2)OCO4,Unspecified,,,,TI,=,3.8
12,103638654,5479394,C1[C@@H]([C@H]([C@H](C2=C1C3=CC4=C(C(=C3C(=O)N2)O)OCO4)O)O)O,Unspecified,,,,TI,=,4.1
13,103638655,454233,C1[C@@H]([C@H]([C@H](C2=C1C3=CC4=C(C=C3C(=O)N2)OCO4)O)O)O,Unspecified,,,,TI,=,4.2
14,103638656,3000373,C1[C@@H]2[C@H]([C@@H]([C@@H]([C@H]1O)O)O)NC(=O)C3=CC4=C(C=C23)OCO4,Unspecified,,,,TI,=,6.6
15,103657376,443689,COC1=C(C=C2[C@@H]3[C@@H]([C@H](C=C4[C@H]3N(CC4)CC2=C1)O)O)O,Unspecified,,,,TI,=,3.7
16,103735740,10314625,CN1C[C@H]2[C@]3([C@@H]1C[C@@H](C=C3)OC)C4=CC5=C(C=C4C(O2)O)OCO5,Unspecified,,,,TI,=,5.6
