PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Algorithm,Common/Unique,Wells Analyzed,Wells Removed,Sumrank,DIST,Low/High,Expectation,Daily Filter replicate 1,Daily Filter replicate 2,Daily Filter replicate 3,Daily Filter replicate 4,Daily Filter replicate 5,Daily Filter replicate 6,Reference Wells replicate 1,Reference Wells replicate 2,Reference Wells replicate 3,Reference Wells replicate 4,Reference Wells replicate 5,Reference Wells replicate 6,Valid Objects replicate 1,Valid Objects replicate 2,Valid Objects replicate 3,Valid Objects replicate 4,Valid Objects replicate 5,Valid Objects replicate 6,Predicted Target Gene
RESULT_TYPE,,,,,,,,STRING,STRING,INTEGER,INTEGER,INTEGER,INTEGER,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,INTEGER,INTEGER,INTEGER,INTEGER,INTEGER,INTEGER,PUBCHEM_NCBI_GENE_ID
RESULT_UNIT,,,,,,,,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
1,104179793,,,Inactive,,,DRSC00001,,,,,,,,,2.73,1.64,,,,,5.85,4.01,,,,,6232,6475,,,,,
2,104179796,,,Inactive,,,DRSC00004,,,,,,,,,9.34,2.07,,,,,41.75,6.33,,,,,6071,6041,,,,,
3,104179799,,,Inactive,,,DRSC00007,,,,,,,,,3.39,5.69,,,,,43.2,43.17,,,,,6775,6577,,,,,
4,104179803,,,Inactive,,,DRSC00011,,,,,,,,,6.87,3.51,,,,,18.21,9.89,,,,,6287,6118,,,,,318893
5,104179804,,,Inactive,,,DRSC00012,,,,,,,,,1.41,0.57,,,,,3.23,1.87,,,,,6169,6470,,,,,"3885609,319026"
6,104179805,,,Inactive,,,DRSC00013,,,,,,,,,6.11,3.02,,,,,14.25,9.02,,,,,6215,6058,,,,,319027
7,104179809,,,Inactive,,,DRSC00017,,,,,,,,,3.88,3.03,,,,,20.66,12.05,,,,,6234,6329,,,,,
8,104179822,,,Inactive,,,DRSC00030,,,,,,,,,6.76,4.15,,,,,40.78,16.35,,,,,6106,6505,,,,,
