PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Primary % CPE Inhibition @ 20 uM (Rep 1),Primary % CPE Inhibition @ 20 uM (Rep 2)
RESULT_TYPE,,,,,,,,FLOAT,FLOAT
RESULT_UNIT,,,,,,,,PERCENT,PERCENT
1,22415874,2930832,CC(C1=CC=CC=C1)NC(=O)NC2CCCCC2,Inactive,0,,,0,0
2,22404652,3376686,CCN(CC)S(=O)(=O)C1=CC(=C(C=C1)OC)NC(=O)CSC2=C(C=CC(=C2)Cl)Cl,Inactive,0,,,1.02,0
3,17432810,2909436,C1CC(OC1)C(=O)N2CCN(CC2)C(=S)NC3=CC(=CC=C3)Cl,Inactive,0,,,1.09,0.98
4,22402092,1236385,CC(C)(C)C1=CC=C(C=C1)S(=O)(=O)N2CCSC2,Inactive,0,,,0.02,0.04
5,17508350,519685,CN(C)C1=CC=C(C=C1)NS(=O)(=O)C2=CC=C(C=C2)Cl,Inactive,0,,,0,0.9
6,22406459,15945140,CC1=C(C=C(C=C1)Cl)N2CCN(CC2)CC(COCC3=CC=CO3)O.C(=O)(C(=O)O)O,Inactive,0,,,0,0
7,17514179,1034215,CC1=NC(=CC=C1)NS(=O)(=O)C2=CC(=C(N=C2)Cl)Br,Inactive,0,,,0,0
8,22403201,2770553,C1CN(CCN1CC(COC2=CC=C(C=C2)[N+](=O)[O-])O)C3=CC=CC=C3F,Inactive,0,,,0,0.69
9,22416357,2897805,C1CC(OC1)CNC(=S)NC2=CC=C(C=C2)Cl,Inactive,0,,,0.3,0
10,14738151,4342249,CCOC1=C2C(=C(C=C1)S(=O)(=O)N3CCN(CC3)C4=CC=CC=C4F)C=CC=N2,Inactive,2,,,1.2,5.58
11,22405359,258697,CC1=CC(=CC=C1)C(=O)NNC(=O)C2=CC=CC=C2,Inactive,0,,,0,0
12,17507201,5717651,CC1=CC=C(O1)C(=O)/C=C/C2=CC=C(C=C2)F,Inactive,2,,,0.85,4.55
13,17504762,711560,C1CN\2CCC1C(=O)/C2=C/C3=CC=C(C=C3)[N+](=O)[O-],Inactive,0,,,0,0.49
14,14719341,1937032,C1CCC(CC1)N(CCC#N)S(=O)(=O)C2=CC=CC3=NSN=C32,Inactive,1,,,0.5,2.22
15,14719371,1861502,COC1=CC=C(C=C1)N(CCC#N)S(=O)(=O)C2=CC=CC3=NSN=C32,Inactive,0,,,0,0
16,14719342,1714727,C1=CC=C(C=C1)CCCNS(=O)(=O)C2=CC=CC3=NSN=C32,Inactive,0,,,0,0.27
17,14719345,840025,CCOC(=O)C1=C(SC(=C1C(=O)OCC)N)N,Inactive,1,,,2.19,1.61
18,14719347,1380912,C1=CC=C2C(=C1)N=NN2CNC3=NC=CS3,Inactive,0,,,0.92,0.56
19,14719348,1713718,C1=CC=NC(=C1)C(=O)NCCCC(=O)O,Inactive,0,,,0.83,0.06
20,14719349,458828,COC1=C(C=CC(=C1)CC2=CC(=C(C=C2)N)OC)N,Inactive,0,,,0.36,0
21,17432632,2836856,CCOC(=O)C(CC1=CC=CC=C1)C(=O)NC2=CC=CC3=CC=CC=C32,Inactive,0,,,0,0.5
22,17432638,687074,C1=CC=C(C=C1)C(=O)NNC(=O)C2=CC=CO2,Inactive,0,,,0,0
23,17432639,776952,C1=COC(=C1)CNC(=O)/C=C/C2=CC=C(C=C2)[N+](=O)[O-],Inactive,0,,,0,0
24,17432609,1804739,C1=CC=C(C=C1)C2=CC(=NC(=N2)Cl)C3=CC=CC=C3,Inactive,0,,,0,0
25,17432505,11979303,C1CCN(C1)CCCNC2C3CC4CC(C3)CC2C4.Cl,Inactive,0,,,0,0
26,17432612,763213,C1CCCN(CC1)CC2=CC=C(S2)[N+](=O)[O-],Inactive,1,,,0.7,2.59
27,17432613,757866,CC1=CC(=NN1C(=O)C2=CC=CC=C2[N+](=O)[O-])C,Inactive,0,,,0,0.24
28,17432362,1377359,CC1=CC=CC=C1N2CCN(CC2)CC3=CC(=C(C(=C3)OC)O)[N+](=O)[O-],Inactive,0,,,0,0
29,17506705,765078,C1CSCCN1CC2=C(C=CC(=C2)[N+](=O)[O-])Cl,Inactive,0,,,1.21,0
30,17504803,1377367,COC1=CC=C(C=C1)N2CCN(CC2)CC3=CC(=C(C(=C3)OC)O)[N+](=O)[O-],Inactive,1,,,0,2.82
