PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,HEK293_PLD2_Mean,HEK293_PLD2[1],HEK293_PLD2[2],HEK293_PLD2[3],HEK293_PLD2[4],HEK293_PLD2[5],HEK293_PLD2[6]
RESULT_TYPE,,,,,,,,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT
RESULT_DESCR,,,,,,,,Averaged Percent PLD1 Activity at set concentration,Measured Percent PLD1 Activity at set concentration,Measured Percent PLD1 Activity at set concentration,Measured Percent PLD1 Activity at set concentration,Measured Percent PLD1 Activity at set concentration,Measured Percent PLD1 Activity at set concentration,Measured Percent PLD1 Activity at set concentration
RESULT_UNIT,,,,,,,,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT
1,112378960,53470193,C[C@@H](CN1CCC(CC1)N2C3=C(C=C(C=C3)Br)NC2=O)NC(=O)[C@@H]4C[C@H]4C5=CC=CC=C5.C(=O)(C(F)(F)F)O,Inactive,0,,EVJ_lib_17,69.1562,69.2335,62.7966,75.4386,,,
2,112378961,46939577,C1CN(CCC12C(=O)NCN2C3=CC(=CC=C3)F)CCNC(=O)C4=CC5=CC=CC=C5C=C4.C(=O)(C(F)(F)F)O,Active,100,,JWJ_lib_23,7.78523,7.90598,9.67341,5.77632,,,
3,125333486,53393875,C1CN(CCC12C(=O)NCN2C3=CC(=CC=C3)F)CCNC(=O)C4=CC=C(C=C4)OC(F)(F)F.C(=O)(C(F)(F)F)O,Inactive,0,,1KB9_lib_31,78.0421,66.7847,81.707,85.6346,,,
4,125333487,53393877,C1CN(CCC12C(=O)NCN2C3=CC(=CC=C3)F)CCNC(=O)C4=C(C=CC(=C4)C(F)(F)F)C(F)(F)F.C(=O)(C(F)(F)F)O,Inactive,0,,1KAM_lib_31,87.8615,83.9511,83.9443,95.6891,,,
5,125333488,53393879,C1CN(CCC12C(=O)NCN2C3=CC(=CC=C3)F)CCNC(=O)C(C4=CC=CC=C4)C5=CC=CC=C5.C(=O)(C(F)(F)F)O,Inactive,0,,1KAB_lib_31,92.2654,96.0298,91.562,89.2044,,,
6,125333489,53393881,COC1=CC(=CC(=C1)C(=O)NCCN2CCC3(CC2)C(=O)NCN3C4=CC(=CC=C4)F)OC.C(=O)(C(F)(F)F)O,Inactive,0,,1KAY_lib_31,84.722,96.354,82.4402,75.3717,,,
7,125333490,53393883,CC1=CC=CC=C1C(=O)NCCN2CCC3(CC2)C(=O)NCN3C4=CC(=CC=C4)F.C(=O)(C(F)(F)F)O,Inactive,0,,1KB8_lib_31,114.808,118.726,128.351,97.3479,,,
8,125333491,53393885,CCCCCC(=O)NCCN1CCC2(CC1)C(=O)NCN2C3=CC(=CC=C3)F.C(=O)(C(F)(F)F)O,Inactive,0,,1KAX_lib_31,80.7196,89.669,69.6367,82.8532,,,
9,125333492,53393887,C1CN(CCC12C(=O)NCN2C3=CC(=CC=C3)F)CCNC(=O)CC4=CC=CS4.C(=O)(C(F)(F)F)O,Inactive,0,,1K9L_lib_31,77.8487,91.0533,74.6069,67.8859,,,
10,125333493,53393889,C1CN(CCC12C(=O)NCN2C3=CC(=CC=C3)F)CCNC(=O)C4=C(C=CC=C4F)F.C(=O)(C(F)(F)F)O,Inactive,0,,1K8J_lib_31,87.9745,92.76,86.2982,84.8652,,,
11,125333494,53393891,C1CN(CCC12C(=O)NCN2C3=CC(=CC=C3)F)CCNC(=O)C4=CC(=CC=C4)F.C(=O)(C(F)(F)F)O,Inactive,0,,1K87_lib_31,63.369,59.5549,53.937,76.6151,,,
12,125333495,53393893,C1CCC(CC1)C(=O)NCCN2CCC3(CC2)C(=O)NCN3C4=CC(=CC=C4)F.C(=O)(C(F)(F)F)O,Inactive,0,,1K9Y_lib_31,90.989,87.3106,78.9892,106.667,,,
13,125333496,53393895,CCCCOC1=CC=C(C=C1)C(=O)NCCN2CCC3(CC2)C(=O)NCN3C4=CC(=CC=C4)F.C(=O)(C(F)(F)F)O,Inactive,0,,1K8V_lib_31,95.2177,96.5453,93.6157,95.4922,,,
