PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Calu_1_Mean,Calu_1[1],Calu_1[2],Calu_1[3]
RESULT_TYPE,,,,,,,,FLOAT,FLOAT,FLOAT,FLOAT
RESULT_DESCR,,,,,,,,Averaged Percent PLD1 Activity at set concentration,Measured Percent PLD1 Activity at set concentration,Measured Percent PLD1 Activity at set concentration,Measured Percent PLD1 Activity at set concentration
RESULT_UNIT,,,,,,,,PERCENT,PERCENT,PERCENT,PERCENT
1,112378960,53470193,C[C@@H](CN1CCC(CC1)N2C3=C(C=C(C=C3)Br)NC2=O)NC(=O)[C@@H]4C[C@H]4C5=CC=CC=C5.C(=O)(C(F)(F)F)O,Active,100,,EVJ_lib_17,9.31262,7.99717,10.46,9.48072
2,112378961,46939577,C1CN(CCC12C(=O)NCN2C3=CC(=CC=C3)F)CCNC(=O)C4=CC5=CC=CC=C5C=C4.C(=O)(C(F)(F)F)O,Inactive,0,,JWJ_lib_23,83.3418,87.0403,77.341,85.644
3,125333486,53393875,C1CN(CCC12C(=O)NCN2C3=CC(=CC=C3)F)CCNC(=O)C4=CC=C(C=C4)OC(F)(F)F.C(=O)(C(F)(F)F)O,Inactive,0,,1KB9_lib_31,96.8689,83.7821,104.023,102.801
4,125333487,53393877,C1CN(CCC12C(=O)NCN2C3=CC(=CC=C3)F)CCNC(=O)C4=C(C=CC(=C4)C(F)(F)F)C(F)(F)F.C(=O)(C(F)(F)F)O,Inactive,0,,1KAM_lib_31,86.2916,75.7692,90.6295,92.476
5,125333488,53393879,C1CN(CCC12C(=O)NCN2C3=CC(=CC=C3)F)CCNC(=O)C(C4=CC=CC=C4)C5=CC=CC=C5.C(=O)(C(F)(F)F)O,Inactive,0,,1KAB_lib_31,94.7356,84.2896,99.2451,100.672
6,125333489,53393881,COC1=CC(=CC(=C1)C(=O)NCCN2CCC3(CC2)C(=O)NCN3C4=CC(=CC=C4)F)OC.C(=O)(C(F)(F)F)O,Inactive,0,,1KAY_lib_31,96.9737,98.0796,105.936,86.9051
7,125333490,53393883,CC1=CC=CC=C1C(=O)NCCN2CCC3(CC2)C(=O)NCN3C4=CC(=CC=C4)F.C(=O)(C(F)(F)F)O,Inactive,0,,1KB8_lib_31,97.2469,106.889,88.1807,96.6714
8,125333491,53393885,CCCCCC(=O)NCCN1CCC2(CC1)C(=O)NCN2C3=CC(=CC=C3)F.C(=O)(C(F)(F)F)O,Inactive,0,,1KAX_lib_31,109.191,114.1,104.352,109.121
9,125333492,53393887,C1CN(CCC12C(=O)NCN2C3=CC(=CC=C3)F)CCNC(=O)CC4=CC=CS4.C(=O)(C(F)(F)F)O,Inactive,0,,1K9L_lib_31,89.802,82.1366,99.9682,87.3011
10,125333493,53393889,C1CN(CCC12C(=O)NCN2C3=CC(=CC=C3)F)CCNC(=O)C4=C(C=CC=C4F)F.C(=O)(C(F)(F)F)O,Inactive,0,,1K8J_lib_31,80.5364,67.3161,88.8067,85.4864
11,125333494,53393891,C1CN(CCC12C(=O)NCN2C3=CC(=CC=C3)F)CCNC(=O)C4=CC(=CC=C4)F.C(=O)(C(F)(F)F)O,Inactive,0,,1K87_lib_31,100.174,97.4068,102.941,
12,125333495,53393893,C1CCC(CC1)C(=O)NCCN2CCC3(CC2)C(=O)NCN3C4=CC(=CC=C4)F.C(=O)(C(F)(F)F)O,Inactive,0,,1K9Y_lib_31,101.869,80.6516,117.117,107.838
13,125333496,53393895,CCCCOC1=CC=C(C=C1)C(=O)NCCN2CCC3(CC2)C(=O)NCN3C4=CC(=CC=C4)F.C(=O)(C(F)(F)F)O,Inactive,0,,1K8V_lib_31,110.371,104.712,110.203,116.197
