PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,IC50_uM,Max_CL95,Min_CL95,value_at_20.000000_uM,value_at_2.000000_uM,value_at_1.000000_uM,value_at_0.500000_uM,value_at_0.200000_uM,value_at_0.100000_uM,value_at_0.020000_uM,value_at_0.002000_uM,value_at_0.000200_uM,value_at_0.000020_uM,value_at_20.417379_uM,value_at_2.041738_uM,value_at_0.204174_uM,value_at_0.020417_uM,value_at_0.002042_uM,value_at_0.000204_uM,value_at_0.000002_uM
RESULT_TYPE,,,,,,,,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT
RESULT_DESCR,,,,,,,,Potency for inhibition of PLD2 in Cell based assay,Maximum IC50 for PLD2 activity at upper 95% confidence limit,Minimum IC50 for PLD2 activity at lower 95% confidence limit,Measured Percent PLD2 Activity at concentration,Measured Percent PLD2 Activity at concentration,Measured Percent PLD2 Activity at concentration,Measured Percent PLD2 Activity at concentration,Measured Percent PLD2 Activity at concentration,Measured Percent PLD2 Activity at concentration,Measured Percent PLD2 Activity at concentration,Measured Percent PLD2 Activity at concentration,Measured Percent PLD2 Activity at concentration,Measured Percent PLD2 Activity at concentration,Measured Percent PLD2 Activity at concentration,Measured Percent PLD2 Activity at concentration,Measured Percent PLD2 Activity at concentration,Measured Percent PLD2 Activity at concentration,Measured Percent PLD2 Activity at concentration,Measured Percent PLD2 Activity at concentration,Measured Percent PLD2 Activity at concentration
RESULT_UNIT,,,,,,,,MICROMOLAR,MICROMOLAR,MICROMOLAR,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,
RESULT_ATTR_CONC_MICROMOL,,,,,,,,,,,20,2,1,0.5,0.2,0.1,0.02,0.002,0.0002,2e-05,20.4174,2.04174,0.204174,0.020417,0.002042,0.000204,2e-06
1,126496551,53469893,C[C@@H](CN1CCC(CC1)N2C3=C(C=C(C=C3)I)NC2=O)NC(=O)C4=CC5=CC=CC=C5C=C4.C(=O)(C(F)(F)F)O,Active,50,,103L,6.37,4.047,10.03,26.1349,66.6954,,,82.2184,,90.4335,100,,,,,,,,,
2,126496552,53469895,C[C@@H](CN1CCC(CC1)N2C3=C(C=C(C=C3)I)NC2=O)NC(=O)C4=CC=C(C=C4)Cl.C(=O)(C(F)(F)F)O,Active,50,,10PN,2.4,1.709,3.411,1.3341,49.553,,,79.1029,,89.5262,,,,,,,,,,
3,126496574,53469923,C1CN(CCC12C(=O)NCN2C3=CC(=CC=C3)Cl)CCNC(=O)C4=CC5=CC=CC=C5N=C4.C(=O)(C(F)(F)F)O.C(=O)(C(F)(F)F)O,Active,100,,103V,0.165,0.062,0.435,19.2358,28.848,,,38.4311,,77.2663,100,,,,,,,,,
4,126496577,53469924,C1CN(CCC12C(=O)NCN2C3=CC(=CC=C3)Br)CCNC(=O)C4=CC5=CC=CC=C5C=C4.C(=O)(C(F)(F)F)O,Active,100,,103W,0.68,0.359,1.289,0,13.4402,,,98.5206,,101.445,100,,,,,,,,,
5,126496573,46939578,C1CN(CCC12C(=O)NCN2C3=CC(=CC=C3)Cl)CCNC(=O)C4=CC5=CC=CC=C5C=C4.C(=O)(C(F)(F)F)O,Active,100,,1045,0.29,0.147,0.559,6.40462,24.0537,,,50.6173,,80.8137,100,,,,,,,,,
