PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,IC50_uM,Max_CL95,Min_CL95,value_at_0.000020_uM,value_at_0.000200_uM,value_at_0.002000_uM,value_at_0.020000_uM,value_at_0.200000_uM,value_at_2.000000_uM,value_at_20.000000_uM
RESULT_TYPE,,,,,,,,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT
RESULT_DESCR,,,,,,,,Potency for inhibition of PLD1 in Exogenous protein-based assay,Maximum IC50 for PLD1 Activity at upper 95% confidence limit,Minimum IC50 for PLD1 Activity at lower 95% confidence limit,Measured Percent PLD2 Activity at concentration,Measured Percent PLD2 Activity at concentration,Measured Percent PLD2 Activity at concentration,Measured Percent PLD2 Activity at concentration,Measured Percent PLD2 Activity at concentration,Measured Percent PLD2 Activity at concentration,Measured Percent PLD2 Activity at concentration
RESULT_UNIT,,,,,,,,MICROMOLAR,MICROMOLAR,MICROMOLAR,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,,,,,,
RESULT_ATTR_CONC_MICROMOL,,,,,,,,,,,2e-05,0.0002,0.002,0.02,0.2,2,20
1,126496558,46939579,C1CN(CCC12C(=O)NCN2C3=CC(=C(C=C3)F)F)CCNC(=O)C4=CC5=CC=CC=C5C=C4.C(=O)(C(F)(F)F)O,Active,100,,10GF,0.098,0.068,0.142,,100,99.0444,81.1625,33.3028,8.86242,-2.23851
2,126496599,53469964,C1CN(CCC12C(=O)NCN2C3=CC(=C(C=C3)F)F)CCNC(=O)C4=CC5=CC=CC=C5N=C4.C(=O)(C(F)(F)F)O.C(=O)(C(F)(F)F)O,Active,100,,11VF,0.2,0.124,0.321,,100.425,92.8827,72.1197,50.454,8.8498,-8.26194
3,126496891,44438309,C1CN(CCC1N2C3=CC=CC=C3NC2=O)CCNC(=O)C4=CC5=CC=CC=C5N=C4,Active,100,,890,0.16,0.063,0.4,,100,133.859,91.3433,41.6631,9.76546,9.68017
4,126496858,53470309,C[C@@H](CN1CCC2(CC1)C(=O)NCN2C3=CC=CC=C3)NC(=O)C4=CC5=CC=CC=C5C=C4.C(=O)(C(F)(F)F)O,Active,100,,AK8,0.235,0.107,0.51,,100,102.455,110.627,54.3757,10.25,-0.391625
5,126496859,53470310,C[C@@H](CN1CCC2(CC1)C(=O)NCN2C3=CC=CC=C3)NC(=O)C4=CC(=C(C=C4)F)F.C(=O)(C(F)(F)F)O,Active,50,,ALJ,2.225,1.226,4.037,,100,97.0148,118.38,80.8635,57.0148,10.3125
6,126496763,44573642,C1CN(CCC1N2C3=C(C=C(C=C3)Cl)NC2=O)CCNC(=O)C4C[C@H]4C5=CC=CC=C5,Active,100,,APR,0.17,0.11,0.268,,100,106.809,97.8604,49.1711,13.7096,4.04692
7,126496770,44138050,C1CN(CCC12C(=O)NCN2C3=CC=CC=C3)CCNC(=O)C4=CC5=CC=CC=C5N=C4,Active,100,,APV,0.5,0.265,1.078,,100,108.419,88.7622,72.2777,23.5893,2.23806
8,126496815,44573728,C1CN(CCC1N2C3=C(C=CC(=C3)F)NC2=O)CCNC(=O)C4=CC(=C(C=C4)F)F,Active,100,,BHD,0.056,0.03,0.104,,100,86.2105,71.2749,30.807,9.28655,11.1228
9,126496816,44573727,C1CN(CCC1N2C3=C(C=CC(=C3)F)NC2=O)CCNC(=O)C4=CC=C(C=C4)Cl,Active,100,,BTQ,0.096,0.059,0.156,,100,86.0613,77.9888,30.1581,8.41201,5.88734
10,126496742,53470192,C[C@@H](CN1CCC(CC1)N2C3=C(C=C(C=C3)Br)NC2=O)NC(=O)C4=CC5=CC=CC=C5C=C4.C(=O)(C(F)(F)F)O,Active,100,,EUX,0.634,0.39,1.03,,101.052,88.6938,80.9642,66.4761,25.3339,5.39761
