PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,IC50 Modifier,IC50,% Inhibition @ 50 uM,% Inhibition @ 25 uM,% Inhibition @ 12.5 uM,% Inhibition @ 6.3 uM,% Inhibition @ 3.1 uM,% Inhibition @ 1.6 uM,% Inhibition @ 0.78 uM,Verification
RESULT_TYPE,,,,,,,,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,STRING
RESULT_UNIT,,,,,,,,NONE,MICROMOLAR,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,NONE
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,,TRUE,,,,,,,,
RESULT_ATTR_CONC_MICROMOL,,,,,,,,,,50,25,12.5,6.3,3.1,1.6,0.78,
1,131480805,2939678,C1=CC=C2C(=C1)C(=CC(=C2O)SCC(=O)O)NS(=O)(=O)C3=CC=CC(=C3)[N+](=O)[O-],Active,99,,,,3.33,65.82,77.43,56.28,50.16,26.32,64.98,0,verified
2,131480819,992586,C1=CC=C2C(=C1)C(=CC(=C2O)SCC(=O)O)NS(=O)(=O)C3=CC=C(C=C3)Br,Active,100,,,,2.37,85.67,89.6,75.47,78.21,72.04,43.59,0,verified
3,131480826,1309516,C1=CC=C2C(=C1)C(=CC(=C2O)SCC(=O)O)NS(=O)(=O)C3=CC=C(C=C3)Cl,Active,97,,,,7.89,61.08,79.13,74.35,47.76,44.33,-66.76,0,verified
4,131480822,750351,CN1C2=C(C(=O)N(C1=O)C)NC(=C2O)C3=CC=CC=C3,Active,81,,,>,50,-55.16,-10.04,53.83,15.67,50.23,-9.79,0,verified
5,131480807,24320234,C1=CC=C(C=C1)CSC2=C(C3=CC=CC=C3C(=C2)NS(=O)(=O)C4=CC=C(C=C4)Cl)O,Active,99,,,,4.23,86.96,89.31,71.25,86.96,28.92,7,0,verified
6,131480808,2133791,C1=CC=C(C=C1)SC2=C(C3=CC=CC=C3C(=C2)NS(=O)(=O)C4=CC=C(C=C4)F)O,Active,82,,,,47.93,71.8,-163.5,-158.94,-15.07,-104.43,-16.15,0,verified
7,131480809,1094880,C1=CC=C2C(=C1)C(=CC(=C2O)SC3=NC=NN3)NS(=O)(=O)C4=CC=C(C=C4)F,Inactive,0,,,,,-6.12,-426.17,-458.21,-180.02,35.18,-165.26,0,verified
8,131480810,4536021,C1=CC=C2C(=C1)C(=CC(=C2O)Cl)NS(=O)(=O)C3=CC=C(C=C3)F,Active,81,,,>,50,-379.54,-122.21,-97.43,67.61,16.38,55.03,,verified
9,131480815,2956510,C1=CC=C(C=C1)CSC2=C(C3=CC=CC=C3C(=C2)NS(=O)(=O)C4=CC=CC(=C4)[N+](=O)[O-])O,Active,99,,,,3.03,47.64,-42.24,-2.49,-18.33,49.18,84.82,,verified
10,131480816,4148341,C1=CC=C2C(=C1)C(=CC(=C2O)SC3=NC4=CC=CC=C4S3)NS(=O)(=O)C5=CC=CC(=C5)[N+](=O)[O-],Active,93,,,,18.29,69.86,71.07,35.48,23.36,-26.48,-53.99,0,verified
11,131480817,1184112,CC1=CC=C(C=C1)S(=O)(=O)NC2=CC(=C(C3=CC=CC=C32)O)SCC(=O)O,Inactive,0,,,,,39.06,35.75,-18.25,-52.32,-44.01,-19.28,0,verified
12,131480821,1184138,C1=CC=C2C(=C1)C(=CC(=C2O)SCC(=O)O)NS(=O)(=O)C3=CC=C(C=C3)F,Inactive,0,,,,,44.81,20.99,8.69,24.1,-3.78,-1.48,0,verified
13,131480823,672058,CN1C2=C(C(=O)N(C1=O)C)NC(=C2O)C3=CC=C(C=C3)Cl,Active,0,,,,7.51,74.61,70.49,66.68,71.65,16.56,-3.77,0,verified
14,131480827,2133850,C1=CC=C2C(=C1)C(=CC(=C2O)SCC(=O)O)NS(=O)(=O)C3=CC=CC4=C3N=CC=C4,Active,81,,,>,50,57.07,41.2,9.39,45.37,60.32,61.69,,verified
15,131480832,1119498,CC1=CC=C(C=C1)S(=O)(=O)NC2=CC(=C(C3=CC=CC=C32)O)SC4=NC(=CC(=N4)C)C,Active,83,,,,45.97,86.23,-49.63,-42.44,50.56,-25.28,-73.22,0,verified
16,131480833,2955133,CC1=C(C=CC(=C1)F)S(=O)(=O)NC2=CC(=C(C3=CC=CC=C32)O)SCC(=O)O,Inactive,0,,,,,-61.16,-183.96,-143.4,-154.26,-2.35,-10.66,0,verified
17,131480834,1652814,COC1=CC(=C(C=C1)OC)S(=O)(=O)NC2=CC(=C(C3=CC=CC=C32)O)SCC(=O)O,Active,81,,,>,50,18.93,20.75,37.67,39.61,88.79,30.76,0,verified
18,131480835,1184139,CC1=CC(=C(C(=C1)C)S(=O)(=O)NC2=CC(=C(C3=CC=CC=C32)O)SCC(=O)O)C,Inactive,0,,,,,-29.26,-21.03,-77.59,-6.28,-41.96,-21.89,0,verified
