PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,HEK293_PLD2_Mean,HEK293_PLD2[1],HEK293_PLD2[2],HEK293_PLD2[3]
RESULT_TYPE,,,,,,,,FLOAT,FLOAT,FLOAT,FLOAT
RESULT_DESCR,,,,,,,,Averaged Percent PLD2 Activity at set concentration,Measured Percent PLD2 Activity at set concentration,Measured Percent PLD2 Activity at set concentration,Measured Percent PLD2 Activity at set concentration
RESULT_UNIT,,,,,,,,PERCENT,PERCENT,PERCENT,PERCENT
1,134220696,56593072,C1CN(CCC12C(=O)NCN2C3=CC(=CC=C3)F)CCNC(=O)C4=CC=CC5=CC=CC=C54.C(=O)(C(F)(F)F)O,Inactive,0,,1LF1,96.2724,84.8823,88.0817,115.853
2,134220685,56593089,C1CN(CCC12C(=O)NCN2C3=CC(=CC=C3)F)CCNC(=O)C4=CC=C(C=C4)Br.C(=O)(C(F)(F)F)O,Active,100,,1LG0,39.1577,40.3422,40.0237,37.1071
3,134220697,46939874,C1CN(CCC12C(=O)NCN2C3=CC(=CC=C3)F)CCNC(=O)C4=CC=C(C=C4)F.C(=O)(C(F)(F)F)O,Active,100,,1LFN,59.4392,45.6952,60.0512,72.5714
4,134220686,56593091,C1CN(CCC12C(=O)NCN2C3=CC(=CC=C3)F)CCN(C(=O)C4=CC=C(C=C4)F)C(=O)C5=CC=C(C=C5)F.C(=O)(C(F)(F)F)O,Inactive,0,,1LDX,102.2,106.323,106.063,94.2139
5,134220698,56593077,C1CN(CCC12C(=O)NCN2C3=CC(=CC=C3)F)CCNC(=O)C4=C(C=C(C=C4)F)F.C(=O)(C(F)(F)F)O,Inactive,0,,1LDR,110.717,113.834,110.282,108.036
6,134220702,56593068,C1CN(CCC12C(=O)NCN2C3=CC(=CC=C3)F)CCNC(=O)C4=CC(=CC=C4)C(F)(F)F.C(=O)(C(F)(F)F)O,Inactive,0,,1LGN,106.912,91.4371,108.224,121.074
7,134220699,56593074,C1CN(CCC12C(=O)NCN2C3=CC(=CC=C3)F)CCNC(=O)C4=CC=CC=C4I.C(=O)(C(F)(F)F)O,Inactive,0,,1LF2,110.696,111.117,116.351,104.621
8,134220687,53393899,C1CN(CCC12C(=O)NCN2C3=CC(=CC=C3)F)CCNC(=O)C4=C(C=C(C=C4)Cl)Cl.C(=O)(C(F)(F)F)O,Inactive,0,,1LG1,116.407,95.5343,111.594,142.093
9,134220681,56593085,C[C@@H](CN1CCC2(CC1)C(=O)NCN2C3=CC(=CC=C3)F)NC(=O)C4=CC(=C(C(=C4)OC)OC)OC.C(=O)(C(F)(F)F)O,Active,100,,1LF9,34.7545,27.2981,47.6734,29.2919
