PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,IC50,% CPE Inhibition @ 100 uM Rep 1,% CPE Inhibition @ 31.6 uM Rep 1,% CPE Inhibition @ 10 uM Rep 1,% CPE Inhibition @ 3.16 uM Rep 1,% CPE Inhibition @ 1 uM Rep 1,% CPE Inhibition @ 0.316 uM Rep 1,% CPE Inhibition @ 0.1 uM Rep 1,% CPE Inhibition @ 0.032 uM Rep 1,% CPE Inhibition @ 100 uM Rep 2,% CPE Inhibition @ 31.6 uM Rep 2,% CPE Inhibition @ 10 uM Rep 2,% CPE Inhibition @ 3.16 uM Rep 2,% CPE Inhibition @ 1 uM Rep 2,% CPE Inhibition @ 0.316 uM Rep 2,% CPE Inhibition @ 0.1 uM Rep 2,% CPE Inhibition @ 0.032 uM Rep 2,% CPE Inhibition @ 100 uM Rep 3,% CPE Inhibition @ 31.6 uM Rep 3,% CPE Inhibition @ 10 uM Rep 3,% CPE Inhibition @ 3.16 uM Rep 3,% CPE Inhibition @ 1 uM Rep 3,% CPE Inhibition @ 0.316 uM Rep 3,% CPE Inhibition @ 0.1 uM Rep 3,% CPE Inhibition @ 0.032 uM Rep 3
RESULT_TYPE,,,,,,,,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT
RESULT_UNIT,,,,,,,,MICROMOLAR,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
RESULT_ATTR_CONC_MICROMOL,,,,,,,,,100,31.6,10,3.16,1,0.316,0.1,0.032,100,31.6,10,3.16,1,0.316,0.1,0.032,100,31.6,10,3.16,1,0.316,0.1,0.032
1,131480805,2939678,C1=CC=C2C(=C1)C(=CC(=C2O)SCC(=O)O)NS(=O)(=O)C3=CC=CC(=C3)[N+](=O)[O-],Inactive,0,,,,0,0,0,0,0,0,0,4.38,0,0,0,0,0,0,0,3.06,0,0,0,0,0,2.06,0,1.48
2,131480819,992586,C1=CC=C2C(=C1)C(=CC(=C2O)SCC(=O)O)NS(=O)(=O)C3=CC=C(C=C3)Br,Inactive,0,,,,0,0,0,0,0,0,0,0.36,0,0,0,0,0,0,0,5.54,0,0,0,0,0,0.66,0,1.29
3,131480826,1309516,C1=CC=C2C(=C1)C(=CC(=C2O)SCC(=O)O)NS(=O)(=O)C3=CC=C(C=C3)Cl,Inactive,0,,,,0,0,0,0,0,0,0,9.16,0,0,0,0,0,0.54,0,1.43,0,0,0,0,0,0.44,0,3.65
4,131480822,750351,CN1C2=C(C(=O)N(C1=O)C)NC(=C2O)C3=CC=CC=C3,Inactive,0,,,,0,0,0,0,0,1.02,0,6.7,0,0,0.95,0,0,1.08,0,3.03,0,0,0.23,0,0,0,0,2.96
5,131480807,24320234,C1=CC=C(C=C1)CSC2=C(C3=CC=CC=C3C(=C2)NS(=O)(=O)C4=CC=C(C=C4)Cl)O,Inactive,0,,,,0,0,0,0,0,0,0.07,3.39,0,0,0,0,0,0,0,3.01,0,0,0,0,0,0.04,0,1.49
6,131480808,2133791,C1=CC=C(C=C1)SC2=C(C3=CC=CC=C3C(=C2)NS(=O)(=O)C4=CC=C(C=C4)F)O,Inactive,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.45,0,0,0,0,0,0,0,0
7,131480809,1094880,C1=CC=C2C(=C1)C(=CC(=C2O)SC3=NC=NN3)NS(=O)(=O)C4=CC=C(C=C4)F,Inactive,0,,,,0,0,0,0,0,0,0,0.23,0,0,0,0,0,0,0,2.35,0,0,0,0,0,0,0,0.38
8,131480810,4536021,C1=CC=C2C(=C1)C(=CC(=C2O)Cl)NS(=O)(=O)C3=CC=C(C=C3)F,Inactive,0,,,,0,0,0,0,0.44,0.25,0,0.49,0,0,0,0,2.18,0.84,0,0.65,0,0,0,0,0,1.03,0,1.52
9,131480815,2956510,C1=CC=C(C=C1)CSC2=C(C3=CC=CC=C3C(=C2)NS(=O)(=O)C4=CC=CC(=C4)[N+](=O)[O-])O,Inactive,0,,,,0,0,0,0,2.49,2.59,0,4.78,0,0,0,0,2.85,0,0,2.42,0,0,0,0,0,0.06,0,0
10,131480816,4148341,C1=CC=C2C(=C1)C(=CC(=C2O)SC3=NC4=CC=CC=C4S3)NS(=O)(=O)C5=CC=CC(=C5)[N+](=O)[O-],Inactive,0,,,,0,0,0,0,0,0,0,2.15,0,0,0,0,0,1.8,0,3.15,0,0,0,0,2.42,1.86,0,2.67
11,131480817,1184112,CC1=CC=C(C=C1)S(=O)(=O)NC2=CC(=C(C3=CC=CC=C32)O)SCC(=O)O,Inactive,0,,,,0,0,0,0,0,0,0,0.59,0,0,0,0,2.09,0.43,0,0,0,0,0,0,1.28,6.46,0,2.03
12,131480821,1184138,C1=CC=C2C(=C1)C(=CC(=C2O)SCC(=O)O)NS(=O)(=O)C3=CC=C(C=C3)F,Inactive,0,,,,0,0,0,0,0,0.61,0,4.74,0,0,0,0,0,0,2.65,7.78,0,0,0,0,0,3.37,0.26,3.37
13,131480823,672058,CN1C2=C(C(=O)N(C1=O)C)NC(=C2O)C3=CC=C(C=C3)Cl,Inactive,0,,,,0,0,1.64,2.36,0.96,0.33,0,2.88,0,0,2.34,0,0,0.96,0,0,0,0,1.64,0.22,0,2.32,0,3.15
