PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Qualifier,DR IC50 uM,DR IC50 R2,DR IC50 Hill Slope,DR % inhibition @ 50 uM,DR Plate Mean max signal,DR Plate Mean min signal,DR plate Z'-factor,DR Assay Date
RESULT_TYPE,,,,,,,,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,STRING
RESULT_DESCR,,,,,,,,"this qualifier is intended to be interpreted with the next TID called DR IC50 uM. If qualifier is = than DR IC50 uM equals to the value in that column, if qualifier is > than DR IC50 uM is bigger than that value",IC50 determined from a 10-point dose response assay,"R2 value, the square of the linear correlation coefficient for a given fit cell.",Hill slope value or slope value quantifies the steepness of the curve; a dose response curve with a standard slope has a Hill slope of 1.0 ,Dose response (n=1) % inhibition of the assay at 50 uM compound calculated from the mean max and min plate controls,Dose response plate Mean maximum assay signal window plate controls n=32,Dose response plate Mean minimum assay signal window plate controls n=24,Dose response plate Z'-factor calculated from the maximum and mimimum assay signal window plate controls,Date the dose response assay was performed
RESULT_UNIT,,,,,,,,,NONE,NONE,NONE,NONE,NONE,NONE,NONE,
1,852843,655490,COC1=CC=C(C=C1)S(=O)(=O)N2C(=CC(=N2)OC(=O)C3=CC=CC=C3)N,Active,80,,,=,0.105,0.859,1.357,115.6,18597.9,3753.94,101.928,1/19/2007
2,4245669,3240114,COC1=CC=C(C=C1)S(=O)(=O)N2C(=CC(=N2)OC(=O)C3=CC=CS3)N,Active,80,,,=,0.11,0.783,1.532,116.28,17006.6,4175.37,109.393,1/19/2007
3,4246200,3240579,COC1=CC=C(C=C1)S(=O)(=O)N2C(=CC(=N2)OC(=O)C3=CC=CC=C3Br)N,Active,80,,,=,0.297,0.884,0.849,112.538,19324.3,4850.5,101.255,1/19/2007
4,851299,653862,COC1=CC=C(C=C1)S(=O)(=O)N2C(=CC(=N2)OC(=O)C3=CC=CO3)N,Active,80,,,=,0.553,0.865,0.845,99.307,18597.9,3753.94,103.647,1/19/2007
5,4247730,3241895,C1=CSC(=C1)C(=O)OC2=NN(C(=C2)N)S(=O)(=O)C3=CC=C(C=C3)F,Active,70,,,=,1.161,0.959,1.49,99.074,18597.9,3753.94,0.473,1/19/2007
6,4248525,3242592,C1=CC=C(C=C1)S(=O)(=O)N2C(=CC(=N2)OC(=O)C3=CC=CC=C3Br)N,Active,70,,,=,1.263,0.93,0.865,100.767,20982.9,3883.47,100.767,1/19/2007
7,3717586,2366780,CC1=NN(C(=C1)OC(=O)C2=CC=CC=C2)CCC#N,Active,70,,,=,1.353,0.947,1.2,105.86,18597.9,3753.94,105.63,1/19/2007
8,845259,647599,C1=COC(=C1)C(=O)OC2=NN(C(=C2)N)S(=O)(=O)C3=CC=C(C=C3)F,Active,70,,,=,1.651,0.96,1.886,107.73,19324.3,4850.5,101.396,1/19/2007
9,4249135,3243128,C1=CC=C(C=C1)S(=O)(=O)N2C(=CC(=N2)OC(=O)C3=CC=CS3)N,Active,70,,,=,2.376,0.937,1.575,101.424,20982.9,3883.47,1.914,1/19/2007
10,844213,646525,CC1=CC=C(C=C1)S(=O)(=O)N2C(=CC(=N2)OC(=O)C3=CC=CS3)N,Active,70,,,=,2.405,0.933,1.137,86.835,17006.6,4175.37,110.802,1/19/2007
11,842717,644992,CC1=NNC2=CC=CC3=C(C=CC1=C32)OC,Active,60,,,=,10.068,0.853,0.773,98.199,20982.9,3883.47,11.415,1/19/2007
12,849441,651936,CC1=CC=C(C=C1)S(=O)(=O)N2C(=CC(=N2)OC(=O)C3=CC=CO3)N,Active,60,,,=,14.391,0.912,2.568,96.576,20982.9,3883.47,18.183,1/19/2007
13,7976321,135432631,COC1=CC=C(C=C1)N=CC2=C(CCCC2=O)O,Active,50,,,=,34.09,0.88,0.77,56.023,19324.3,4850.5,1.963,1/19/2007
14,3712504,2998045,CCS(=O)(=O)N1CC2=CC=CC=C2CC1C(=O)N3CCN(CC3)C4=CC=CC(=C4C)C,Active,50,,,=,38.573,0.75,0.808,51.555,17006.6,4175.37,-1.685,1/19/2007
15,4257662,1890961,CCN1C2=C(C=C(C=C2)NC(=O)CSC3=NN=C(N3CC)C4=CC=CO4)C5=CC=CC=C51,Active,50,,,=,47.708,0.567,0.525,68.79,20982.9,3883.47,10.038,1/19/2007
16,843272,645553,CN1C2=C(C=CC=N2)N=C1SCC(=O)NC3=NC4=C(S3)C=C(C=C4)OC,Inactive,40,,,>,50,0.01,0.086,2.738,19324.3,4850.5,-0.334,1/19/2007
17,844124,6603448,C1COCCN1CCCN(C2=NC(=CS2)C3=CC=C(C=C3)Cl)C(=O)C4=CC=CO4.Cl,Inactive,40,,,>,50,0.287,26.618,-8.91,18597.9,3753.94,-12.738,1/19/2007
18,845453,647804,CCOC1=CC=CC=C1N(CC(=O)NC2CCCC2)C(=O)CCC(=O)NC3=NOC(=C3)C,Inactive,40,,,>,50,0.418,1.379,17.988,17006.6,4175.37,-1.458,1/19/2007
19,846177,54682381,COC1=CC=C(C=C1)CCNC(=O)C2=C(C3=CC=CC4=C3N(C2=O)CC4)O,Inactive,40,,,>,50,0.034,0.099,9.283,17006.6,4175.37,0.946,1/19/2007
20,847169,649567,CC(=O)NC1=NC2=CC=CC=C2N1CCOC3=CC=CC=C3Cl,Inactive,40,,,>,50,0.055,-1.954,10.111,17006.6,4175.37,-1.882,1/19/2007
21,847599,54680928,CC(C)C1=NN=C(S1)NC(=O)C2=C(C3=CC=CC4=C3N(C2=O)CCC4)O,Inactive,40,,,>,50,0.002,24.628,-27.912,17006.6,4175.37,-14.719,1/19/2007
22,847894,650312,CC1=CC(=NC(=N1)C2=CC=CC=C2)N3CCC(CC3)C(=O)NC4CCCCC4,Inactive,40,,,>,50,0.002,-2.368,-16.802,18597.9,3753.94,0.084,1/19/2007
23,848669,651121,CC1=CC(=CC(=C1)NC(=O)CSC2=NN=C(N2C3=CC=CC=C3OC)C)C,Inactive,40,,,>,50,0.011,-0.112,-5.127,18597.9,3753.94,-0.875,1/19/2007
24,848693,651144,CCN1C=C(C(=O)C2=C1N=C(C=C2)C)C(=O)NC3=CC=CC(=C3)C(=O)OC,Inactive,40,,,>,50,0.777,1.992,28.94,17006.6,4175.37,1.51,1/19/2007
25,849358,651847,CCOC(=O)N1CCN(CC1)C2=CC(=O)OC23CCCCC3,Inactive,40,,,>,50,0.391,38.126,-13.362,18597.9,3753.94,-13.362,1/19/2007
26,849582,652082,CCCC(=O)NC1=NC=C(C=C1)NC(=O)C23CC4CC(C2)CC(C4)C3,Inactive,40,,,>,50,0.136,0.159,5.153,20982.9,3883.47,1.16,1/19/2007
27,849730,652236,CCCN1C(=NN=C1SCC(=O)NC2=CC3=C(C=C2)OCCO3)C4=CC=CO4,Inactive,40,,,>,50,0.446,-0.045,14.909,19324.3,4850.5,12.685,1/19/2007
28,850084,652593,COC1=CC(=C(C=C1)OC)NS(=O)(=O)C2=CC=CS2,Inactive,40,,,>,50,0.107,-1.932,-22.902,20982.9,3883.47,0.48,1/19/2007
29,850992,653545,CCOC(=O)C1CCN(CC1)S(=O)(=O)C2=CC=C(C=C2)C(=O)OC,Inactive,40,,,>,50,0.144,-0.139,9.218,18597.9,3753.94,-0.517,1/19/2007
30,852981,655626,C1CN2CN1CN(C2)S(=O)(=O)C3=CC=C(C=C3)Cl,Inactive,40,,,>,50,0.148,-0.16,-8.541,20982.9,3883.47,15.836,1/19/2007
31,855523,2123,CN(C)C1=NC(=NC(=N1)N(C)C)N(C)C,Inactive,40,,,>,50,0.017,-0.079,6.999,19324.3,4850.5,-1.04,1/19/2007
32,855533,441325,CCCCC1=C(C2=CC=CC=C2O1)C(=O)C3=CC(=C(C(=C3)I)OCCN(CC)CC)I.Cl,Inactive,40,,,>,50,0.136,-0.047,30.363,19324.3,4850.5,1.07,1/19/2007
33,855548,657201,CCCC(CCC)C(=O)OC1C[C@H]2CC[C@@H](C1)[N+]2(C)C.[Br-],Inactive,40,,,>,50,0.027,-0.982,15.956,18597.9,3753.94,15.574,1/19/2007
34,855564,5853,COP(=O)(C(C(Cl)(Cl)Cl)O)OC,Inactive,40,,,>,50,0.37,0.629,16.211,17006.6,4175.37,11.546,1/19/2007
35,855619,443955,CC[C@@]12CCCN3[C@@H]1C4=C(CC3)C5=CC=CC=C5N4C(=C2)C(=O)OCC,Inactive,40,,,>,50,0.313,0.213,36.141,19324.3,4850.5,13.921,1/19/2007
36,855642,460129,C([C@@H](C(=O)O)N)OC(=O)C=[N+]=[N-],Inactive,40,,,>,50,0.026,0.053,5.518,20982.9,3883.47,10.862,1/19/2007
37,855656,5336,C1=CC=NC(=C1)NS(=O)(=O)C2=CC=C(C=C2)N,Inactive,40,,,=,50,0.238,-1.143,0.192,17006.6,4175.37,0.192,1/19/2007
38,855667,185248,CN1CCN(CC1)CC(=O)N2C3=CC=CC=C3C(=O)NC4=C2N=CC=C4.Cl,Inactive,40,,,>,50,0.004,-0.04,28.509,18597.9,3753.94,12.458,1/19/2007
39,855670,5280880,CCCCC[C@@H](/C=C/[C@H]1C=CC(=O)[C@@H]1C/C=C\CCCC(=O)O)O,Inactive,40,,,>,50,0.656,1.44,27.963,17006.6,4175.37,-0.151,1/19/2007
40,855684,11548,CC(C[N+](C)(C)C)OC(=O)N.[Cl-],Inactive,40,,,>,50,0.308,0.517,10.884,17006.6,4175.37,0.362,1/19/2007
41,855708,439744,C1=CC(=C(C=C1C[C@@H](C(=O)O)N)I)O,Inactive,40,,,>,50,0.068,0.122,31.261,18597.9,3753.94,10.061,1/19/2007
42,855715,5353927,COC1=C(C=C(C=C1)/C=C(/C#N)\C2=CN=CC=C2)OC,Inactive,40,,,>,50,0.559,1.409,20.543,17006.6,4175.37,-0.791,1/19/2007
43,855728,66068,CCN(CC)CCNC(=O)C1=CC=C(C=C1)N.Cl,Inactive,40,,,>,50,0.688,0.236,26.761,18597.9,3753.94,10.387,1/19/2007
44,855782,5505,CCCCNC(=O)NS(=O)(=O)C1=CC=C(C=C1)C,Inactive,40,,,>,50,0.164,0.712,-2.083,20982.9,3883.47,0.756,1/19/2007
45,855788,657302,C1=CC=C(C=C1)C2(C(=O)[N-]C(=O)N2)C3=CC=CC=C3.[Na+],Inactive,40,,,>,50,0.023,-0.082,24.997,19324.3,4850.5,13.241,1/19/2007
46,855794,3059,C1=CC(=C(C=C1C2=C(C=C(C=C2)F)F)C(=O)O)O,Inactive,40,,,>,50,0.277,7.708,-48.008,17006.6,4175.37,-48.008,1/19/2007
47,855797,92173,CC(C)([C@H](C(=O)O)N)S.Cl,Inactive,40,,,=,50,0.718,-0.825,-21.021,20982.9,3883.47,14.521,1/19/2007
48,855875,657348,C[C@@]12CCN([C@@H]1N(C3=C2C=C(C=C3)OC(=O)NC)C)C.C1=CC=C(C(=C1)C(=O)O)O,Inactive,40,,,>,50,0.047,0.127,54.001,18597.9,3753.94,1.824,1/19/2007
