PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Category,Concentration_uM_1,%_Inh_Min_1
RESULT_TYPE,,,,,,,,STRING,FLOAT,FLOAT
RESULT_DESCR,,,,,,,,How a compound is classified,Concentration Tested,Percent Inhibition
RESULT_UNIT,,,,,,,,,MICROMOLAR,PERCENT
1,173128357,73099404,C1CN(CCC12C(=O)NCN2CC3=CC=CC=C3)CCNC(=O)C4=CC5=CC=CC=C5C=C4.C(=O)(C(F)(F)F)O.C(=O)(C(F)(F)F)O,Active,50,http://www.vcndd.com/,,active,20,72
2,173128358,73099330,C1CN(CCC12C(=O)NCN2CC3=CC=CC=C3Cl)CCNC(=O)C4=CC5=CC=CC=C5C=C4.C(=O)(C(F)(F)F)O.C(=O)(C(F)(F)F)O,Active,50,http://www.vcndd.com/,,active,20,91
3,173128359,73099396,C1CN(CCC12C(=O)NCN2CC3=CC=CC=C3F)CCNC(=O)C4=CC5=CC=CC=C5C=C4.C(=O)(C(F)(F)F)O.C(=O)(C(F)(F)F)O,Active,50,http://www.vcndd.com/,,active,20,77
4,173128360,73099411,C1CN(CCC12C(=O)NCN2CC3=CC(=CC=C3)OC(F)(F)F)CCNC(=O)C4=CC5=CC=CC=C5C=C4.C(=O)(C(F)(F)F)O.C(=O)(C(F)(F)F)O,Inactive,0,http://www.vcndd.com/,,inactive,20,10
5,173128361,73099450,C1CN(CCC12C(=O)NCN2)CCNC(=O)C3=CC4=CC=CC=C4C=C3.C(=O)(C(F)(F)F)O.C(=O)(C(F)(F)F)O,Inactive,0,http://www.vcndd.com/,,inactive,20,7
6,173128362,73099346,C1CN(CCC12C(=O)NCN2C(=O)C3=CC=CC=C3)CCNC(=O)C4=CC5=CC=CC=C5C=C4.C(=O)(C(F)(F)F)O,Inactive,0,http://www.vcndd.com/,,inactive,20,45
7,173128363,73099334,C1CC(C1)C(=O)N2CNC(=O)C23CCN(CC3)CCNC(=O)C4=CC5=CC=CC=C5C=C4.C(=O)(C(F)(F)F)O,Active,50,http://www.vcndd.com/,,active,20,80
8,173128364,73099366,C1CN(CCC12C(=O)NCN2C(=O)C3=CC(=CC=C3)F)CCNC(=O)C4=CC5=CC=CC=C5C=C4.C(=O)(C(F)(F)F)O,Active,50,http://www.vcndd.com/,,active,20,50
9,173128365,73099473,COC1=CC=CC(=C1)C(=O)N2CNC(=O)C23CCN(CC3)CCNC(=O)C4=CC5=CC=CC=C5C=C4.C(=O)(C(F)(F)F)O,Active,50,http://www.vcndd.com/,,active,20,50
10,173128366,73099362,C1CC1C(=O)N2CNC(=O)C23CCN(CC3)CCNC(=O)C4=CC5=CC=CC=C5C=C4.C(=O)(C(F)(F)F)O,Active,50,http://www.vcndd.com/,,active,20,83
11,173128367,73099433,C1CC1CN2CNC(=O)C23CCN(CC3)CCNC(=O)C4=CC5=CC=CC=C5C=C4.C(=O)(C(F)(F)F)O.C(=O)(C(F)(F)F)O,Inactive,0,http://www.vcndd.com/,,inactive,20,43
12,173128368,73099396,C1CN(CCC12C(=O)NCN2CC3=CC=CC=C3F)CCNC(=O)C4=CC5=CC=CC=C5C=C4.C(=O)(C(F)(F)F)O.C(=O)(C(F)(F)F)O,Active,50,http://www.vcndd.com/,,active,20,87
13,173128369,73099475,C1CN(CCC12C(=O)NCN2CC3=CC(=CC=C3)Cl)CCNC(=O)C4=CC5=CC=CC=C5C=C4.C(=O)(C(F)(F)F)O.C(=O)(C(F)(F)F)O,Active,50,http://www.vcndd.com/,,active,20,89
14,173128370,73099456,C1CN(CCC12C(=O)NCN2CC3=CC=CC=C3Br)CCNC(=O)C4=CC5=CC=CC=C5C=C4.C(=O)(C(F)(F)F)O.C(=O)(C(F)(F)F)O,Active,50,http://www.vcndd.com/,,active,20,96
15,173128371,73099426,C1CN(CCC12C(=O)NCN2CC3=CC=CC=N3)CCNC(=O)C4=CC5=CC=CC=C5C=C4.C(=O)(C(F)(F)F)O.C(=O)(C(F)(F)F)O,Active,50,http://www.vcndd.com/,,active,20,88
16,173128372,73099328,C1CN(CCC12C(=O)NCN2CC3=CC=CC4=CC=CC=C43)CCNC(=O)C5=CC6=CC=CC=C6C=C5.C(=O)(C(F)(F)F)O.C(=O)(C(F)(F)F)O,Active,50,http://www.vcndd.com/,,active,20,94
17,173128373,73099353,C1CN(CCC12C(=O)NCN2CC3=CC=C(C=C3)Cl)CCNC(=O)C4=CC5=CC=CC=C5C=C4.C(=O)(C(F)(F)F)O.C(=O)(C(F)(F)F)O,Active,50,http://www.vcndd.com/,,active,20,64
18,173128374,73099363,C1CN(CCC12C(=O)NCN2CC3=CN=CC=C3)CCNC(=O)C4=CC5=CC=CC=C5C=C4.C(=O)(C(F)(F)F)O.C(=O)(C(F)(F)F)O,Inactive,0,http://www.vcndd.com/,,inactive,20,37
19,173128375,73099432,C1CN(CCC12C(=O)NCN2CC3=CC=NC=C3)CCNC(=O)C4=CC5=CC=CC=C5C=C4.C(=O)(C(F)(F)F)O.C(=O)(C(F)(F)F)O,Active,50,http://www.vcndd.com/,,active,20,53
20,173128376,73099350,C1CN(CCC12C(=O)NCN2CC3=CN=CC=C3)CCNC(=O)C4=CC(=C(C=C4)F)F.C(=O)(C(F)(F)F)O.C(=O)(C(F)(F)F)O,Inactive,0,http://www.vcndd.com/,,inactive,20,3
21,173128377,73099363,C1CN(CCC12C(=O)NCN2CC3=CN=CC=C3)CCNC(=O)C4=CC5=CC=CC=C5C=C4.C(=O)(C(F)(F)F)O.C(=O)(C(F)(F)F)O,Inactive,0,http://www.vcndd.com/,,inactive,20,38
22,173128378,73099457,C1CN(CCC12C(=O)NCN2CC3=CN=CC=C3)CCNC(=O)C4=CC=C(C=C4)F.C(=O)(C(F)(F)F)O.C(=O)(C(F)(F)F)O,Inactive,0,http://www.vcndd.com/,,inactive,20,3
23,173128379,73099460,C1CN(CCC12C(=O)NCN2CC3=CN=CC=C3)CCNC(=O)C4=CC=C(C=C4)Br.C(=O)(C(F)(F)F)O.C(=O)(C(F)(F)F)O,Inactive,0,http://www.vcndd.com/,,inactive,20,9
24,173128380,73099453,C1CN(CCC12C(=O)NCN2CC3=CN=CC=C3)CCNC(=O)C4=CC(=C(C(=C4)F)F)F.C(=O)(C(F)(F)F)O.C(=O)(C(F)(F)F)O,Inactive,0,http://www.vcndd.com/,,inactive,20,0
25,173128381,73099422,C1CN(CCC12C(=O)NCN2CC3=CN=CC=C3)CCNC(=O)C4=CC(=CC=C4)F.C(=O)(C(F)(F)F)O.C(=O)(C(F)(F)F)O,Inactive,0,http://www.vcndd.com/,,inactive,20,2
26,173128382,73099345,C1CN(CCC12C(=O)NCN2CC3=CN=CC=C3)CCNC(=O)C4=CC5=C(N4)C=CC(=C5)F.C(=O)(C(F)(F)F)O.C(=O)(C(F)(F)F)O.C(=O)(C(F)(F)F)O,Inactive,0,http://www.vcndd.com/,,inactive,20,4
27,173128383,73099472,C1CN(CCC12C(=O)NCN2C3=CC(=CN=C3)Br)CCNC(=O)C4=CC5=CC=CC=C5C=C4.C(=O)(C(F)(F)F)O.C(=O)(C(F)(F)F)O,Inactive,0,http://www.vcndd.com/,,inactive,20,9
28,173128384,73099454,CC1=NC=CC(=C1)N2CNC(=O)C23CCN(CC3)CCNC(=O)C4=CC5=CC=CC=C5C=C4.C(=O)(C(F)(F)F)O.C(=O)(C(F)(F)F)O,Inactive,0,http://www.vcndd.com/,,inactive,20,7
29,173128385,73099340,C1CN(CCC12C(=O)NCN2C3=CC(=NC=C3)F)CCNC(=O)C4=CC5=CC=CC=C5C=C4.C(=O)(C(F)(F)F)O.C(=O)(C(F)(F)F)O,Inactive,0,http://www.vcndd.com/,,inactive,20,3
30,173128386,73099414,C1CN(CCC12C(=O)NCN2C3=CC(=NC=C3)Cl)CCNC(=O)C4=CC5=CC=CC=C5C=C4.C(=O)(C(F)(F)F)O.C(=O)(C(F)(F)F)O,Inactive,0,http://www.vcndd.com/,,inactive,20,0
31,173128387,73099384,C1CN(CCC12C(=O)NCN2C3=CN=C(C=C3)C(F)(F)F)CCNC(=O)C4=CC5=CC=CC=C5C=C4.C(=O)(C(F)(F)F)O.C(=O)(C(F)(F)F)O,Inactive,0,http://www.vcndd.com/,,inactive,20,2
32,173128388,73099361,C1CN(CCC12C(=O)NCN2CC3=CN=CC=C3)CCNC(=O)C4=CC=CC=C4F.C(=O)(C(F)(F)F)O.C(=O)(C(F)(F)F)O,Inactive,0,http://www.vcndd.com/,,inactive,20,0
33,173128389,73099434,C1CN(CCC12C(=O)NCN2CC3=CN=CC=C3)CCNC(=O)C4=C(C=C(C=C4)Cl)Cl.C(=O)(C(F)(F)F)O.C(=O)(C(F)(F)F)O,Inactive,0,http://www.vcndd.com/,,inactive,20,0
34,173128390,73099347,C1CN(CCC12C(=O)NCN2CC3=CN=CC=C3)CCNC(=O)C4=CC=C(C=C4)C(F)(F)F.C(=O)(C(F)(F)F)O.C(=O)(C(F)(F)F)O,Inactive,0,http://www.vcndd.com/,,inactive,20,0
35,173128391,73099408,C1CN(CCC12C(=O)NCN2CC3=CN=CC=C3)CCNC(=O)C4=CC(=C(C=C4)Cl)Cl.C(=O)(C(F)(F)F)O.C(=O)(C(F)(F)F)O,Inactive,0,http://www.vcndd.com/,,inactive,20,13
36,173128392,73099359,C1CN(CCC12C(=O)NCN2CC3=CN=CC=C3)CCNC(=O)C4=CC=CS4.C(=O)(C(F)(F)F)O.C(=O)(C(F)(F)F)O,Inactive,0,http://www.vcndd.com/,,inactive,20,3
37,173128393,73099428,C1CN(CCC12C(=O)NCN2CC3=CN=CC=C3)CCNC(=O)C4=CC(=CC=C4)Cl.C(=O)(C(F)(F)F)O.C(=O)(C(F)(F)F)O,Inactive,0,http://www.vcndd.com/,,inactive,20,0
38,173128394,73099407,CC1=CC=C(C=C1)S(=O)(=O)NCCN2CCC3(CC2)C(=O)NCN3CC4=CN=CC=C4.C(=O)(C(F)(F)F)O.C(=O)(C(F)(F)F)O,Inactive,0,http://www.vcndd.com/,,inactive,20,0
39,173128395,73099364,COC1=CC(=CC(=C1OC)OC)C(=O)NCCN2CCC3(CC2)C(=O)NCN3CC4=CN=CC=C4.C(=O)(C(F)(F)F)O.C(=O)(C(F)(F)F)O,Inactive,0,http://www.vcndd.com/,,inactive,20,0
40,173128396,73099424,CC1=CC(=CN=C1C(=O)NCCN2CCC3(CC2)C(=O)NCN3CC4=CN=CC=C4)Br.C(=O)(C(F)(F)F)O.C(=O)(C(F)(F)F)O,Inactive,0,http://www.vcndd.com/,,inactive,20,0
41,173128397,73099400,C1CN(CCC12C(=O)NCN2CC3=CN=CC=C3)CCNC(=O)C4=C(C=C(C=C4)F)C(F)(F)F.C(=O)(C(F)(F)F)O.C(=O)(C(F)(F)F)O,Inactive,0,http://www.vcndd.com/,,inactive,20,0
42,173128398,73099463,C1CN(CCC12C(=O)NCN2CC3=CN=CC=C3)CCNC(=O)C4=CC(=CC=C4)C(F)(F)F.C(=O)(C(F)(F)F)O.C(=O)(C(F)(F)F)O,Inactive,0,http://www.vcndd.com/,,inactive,20,0
43,173128399,73099338,C1CN(CCC12C(=O)NCN2CC3=CN=CC=C3)CCNC(=O)C4=C(C=CC(=C4F)Cl)F.C(=O)(C(F)(F)F)O.C(=O)(C(F)(F)F)O,Inactive,0,http://www.vcndd.com/,,inactive,20,0
44,173128400,73099382,C1CN(CCC12C(=O)NCN2CC3=CN=CC=C3)CCNC(=O)C4=CC=C(C=C4)SC(F)(F)F.C(=O)(C(F)(F)F)O.C(=O)(C(F)(F)F)O,Inactive,0,http://www.vcndd.com/,,inactive,20,5
45,173128401,73099374,C1CN(CCC12C(=O)NCN2CC3=CN=CC=C3)CCNC(=O)C4=C(C=C(C=C4)F)Cl.C(=O)(C(F)(F)F)O.C(=O)(C(F)(F)F)O,Inactive,0,http://www.vcndd.com/,,inactive,20,0
46,173128402,73099398,C1CN(CCC12C(=O)NCN2CC3=CN=CC=C3)CCNC(=O)C4=C(C=C(C=C4)F)F.C(=O)(C(F)(F)F)O.C(=O)(C(F)(F)F)O,Inactive,0,http://www.vcndd.com/,,inactive,20,7
47,173128403,73099387,C1CN(CCC12C(=O)NCN2CC3=CN=CC=C3)CCNC(=O)C4=CC(=CC(=C4)F)F.C(=O)(C(F)(F)F)O.C(=O)(C(F)(F)F)O,Inactive,0,http://www.vcndd.com/,,inactive,20,0
48,173128404,73099469,C1CN(CCC12C(=O)NCN2CC3=CN=CC=C3)CCNC(=O)C4=C(C=C(C=C4)Cl)F.C(=O)(C(F)(F)F)O.C(=O)(C(F)(F)F)O,Inactive,0,http://www.vcndd.com/,,inactive,20,0
49,173128405,73099343,C1CN(CCC12C(=O)NCN2CC3=CN=CC=C3)CCNC(=O)C4=CC5=CC=CC=C5O4.C(=O)(C(F)(F)F)O.C(=O)(C(F)(F)F)O,Inactive,0,http://www.vcndd.com/,,inactive,20,14
50,173128406,73099333,C1CN(CCC12C(=O)NCN2CC3=CN=CC=C3)CCNC(=O)C4=NC5=CC=CC=C5C=C4.C(=O)(C(F)(F)F)O.C(=O)(C(F)(F)F)O.C(=O)(C(F)(F)F)O,Inactive,0,http://www.vcndd.com/,,inactive,20,11
51,173128407,73099439,C1CN(C=CC12C(=O)NCN2CC3=CN=CC=C3)CCNC(=O)C4=CC=CC5=NSN=C54.C(=O)(C(F)(F)F)O.C(=O)(C(F)(F)F)O,Inactive,0,http://www.vcndd.com/,,inactive,20,9
52,173128408,73099378,C1CN(CCC12C(=O)NCN2CC3=CN=CC=C3)CCNC(=O)[C@@H]4C[C@H]4C5=CC=CC=C5.C(=O)(C(F)(F)F)O.C(=O)(C(F)(F)F)O,Inactive,0,http://www.vcndd.com/,,inactive,20,23
53,173128409,73099351,C1CN(CCC12C(=O)NCN2CC3=CN=CC=C3)CCNC(=O)C4=C(C=NC=C4Cl)Cl.C(=O)(C(F)(F)F)O.C(=O)(C(F)(F)F)O,Inactive,0,http://www.vcndd.com/,,inactive,20,20
54,173128410,73099385,C1CN(CCC12C(=O)NCN2CC3=CN=CC=C3)CCNC(=O)C4=C(C5=CC=CC=C5C=C4)Br.C(=O)(C(F)(F)F)O.C(=O)(C(F)(F)F)O,Inactive,0,http://www.vcndd.com/,,inactive,20,10
55,173128411,73099437,C1CN(CCC12C(=O)NCN2CC3=CN=CC=C3)CCNC(=O)C4=CC5=C(C=C4)C=C(C=C5)F.C(=O)(C(F)(F)F)O.C(=O)(C(F)(F)F)O,Inactive,0,http://www.vcndd.com/,,inactive,20,9
