PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Average_IC50_uM,Category,Value_at_20_uM_1,Value_at_2_uM_1,Value_at_0.5_uM_1,Value_at_0.2_uM_1,Value_at_0.1_uM_1,Value_at_0.02_uM_1,Value_at_0.002_uM_1,IC50_uM_1
RESULT_TYPE,,,,,,,,FLOAT,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT
RESULT_DESCR,,,,,,,,Average IC50 across replicates,How a compound is classified,See Protocol,See Protocol,See Protocol,See Protocol,See Protocol,See Protocol,See Protocol,See Protocol
RESULT_UNIT,,,,,,,,MICROMOLAR,,NONE,NONE,NONE,NONE,NONE,NONE,NONE,MICROMOLAR
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,,,,,,
RESULT_ATTR_CONC_MICROMOL,,,,,,,,,,20,2,0.5,0.2,0.1,0.02,0.002,
1,173128414,73099479,C1CN(CCC12C(=O)NCN2CC3=CN=CC=C3)CCNC(=O)C4=CC5=CC=CC=C5N4.C(=O)(C(F)(F)F)O.C(=O)(C(F)(F)F)O.C(=O)(C(F)(F)F)O,Active,50,http://www.vcndd.com/,,3.59,Inhibitor,86.3443,38.1417,,12.0449,,9.5997,0.99,3.59
2,173128405,73099343,C1CN(CCC12C(=O)NCN2CC3=CN=CC=C3)CCNC(=O)C4=CC5=CC=CC=C5O4.C(=O)(C(F)(F)F)O.C(=O)(C(F)(F)F)O,Active,50,http://www.vcndd.com/,,20,Inhibitor,40.8381,17.6873,,18.0689,,0,0,20
3,173128410,73099385,C1CN(CCC12C(=O)NCN2CC3=CN=CC=C3)CCNC(=O)C4=C(C5=CC=CC=C5C=C4)Br.C(=O)(C(F)(F)F)O.C(=O)(C(F)(F)F)O,Active,50,http://www.vcndd.com/,,20,Inhibitor,39.757,13.8772,,0,,13.2266,0,20
4,173128377,73099363,C1CN(CCC12C(=O)NCN2CC3=CN=CC=C3)CCNC(=O)C4=CC5=CC=CC=C5C=C4.C(=O)(C(F)(F)F)O.C(=O)(C(F)(F)F)O,Active,50,http://www.vcndd.com/,,20,Inhibitor,48.445,15.4598,,9.92707,,8.09379,0.333,20
5,173128382,73099345,C1CN(CCC12C(=O)NCN2CC3=CN=CC=C3)CCNC(=O)C4=CC5=C(N4)C=CC(=C5)F.C(=O)(C(F)(F)F)O.C(=O)(C(F)(F)F)O.C(=O)(C(F)(F)F)O,Active,50,http://www.vcndd.com/,,3.15,Inhibitor,88.0826,40.2153,,3.47595,,8.315,1.33e-05,3.15
6,173128391,73099408,C1CN(CCC12C(=O)NCN2CC3=CN=CC=C3)CCNC(=O)C4=CC(=C(C=C4)Cl)Cl.C(=O)(C(F)(F)F)O.C(=O)(C(F)(F)F)O,Active,50,http://www.vcndd.com/,,20,Inhibitor,32.1878,15.1532,,2.48864,,7.76413,0.333,20
7,173128369,73099475,C1CN(CCC12C(=O)NCN2CC3=CC(=CC=C3)Cl)CCNC(=O)C4=CC5=CC=CC=C5C=C4.C(=O)(C(F)(F)F)O.C(=O)(C(F)(F)F)O,Active,50,http://www.vcndd.com/,,2.8,Inhibitor,99.5627,34.762,,7.84263,,4.08945,0.233,2.8
8,173128370,73099456,C1CN(CCC12C(=O)NCN2CC3=CC=CC=C3Br)CCNC(=O)C4=CC5=CC=CC=C5C=C4.C(=O)(C(F)(F)F)O.C(=O)(C(F)(F)F)O,Active,50,http://www.vcndd.com/,,1.68,Inhibitor,94.8577,58.4204,,0,,0,0,1.68
9,173128371,73099426,C1CN(CCC12C(=O)NCN2CC3=CC=CC=N3)CCNC(=O)C4=CC5=CC=CC=C5C=C4.C(=O)(C(F)(F)F)O.C(=O)(C(F)(F)F)O,Active,50,http://www.vcndd.com/,,2.63,Inhibitor,91.4467,41.8701,,3.28841,,0.894837,0.0066,2.63
10,173128373,73099353,C1CN(CCC12C(=O)NCN2CC3=CC=C(C=C3)Cl)CCNC(=O)C4=CC5=CC=CC=C5C=C4.C(=O)(C(F)(F)F)O.C(=O)(C(F)(F)F)O,Active,50,http://www.vcndd.com/,,6.78,Inhibitor,83.5834,15.1259,,5.25691,,-3.65617,3.65616,6.78
11,173128374,73099363,C1CN(CCC12C(=O)NCN2CC3=CN=CC=C3)CCNC(=O)C4=CC5=CC=CC=C5C=C4.C(=O)(C(F)(F)F)O.C(=O)(C(F)(F)F)O,Active,50,http://www.vcndd.com/,,20,Inhibitor,39.1189,5.47383,,2.28448,,1.76825,-1.76825,20
12,173128375,73099432,C1CN(CCC12C(=O)NCN2CC3=CC=NC=C3)CCNC(=O)C4=CC5=CC=CC=C5C=C4.C(=O)(C(F)(F)F)O.C(=O)(C(F)(F)F)O,Active,50,http://www.vcndd.com/,,20,Inhibitor,47.2225,15.1942,,5.25559,,6.29408,0,20
13,173128367,73099433,C1CC1CN2CNC(=O)C23CCN(CC3)CCNC(=O)C4=CC5=CC=CC=C5C=C4.C(=O)(C(F)(F)F)O.C(=O)(C(F)(F)F)O,Active,50,http://www.vcndd.com/,,20,Inhibitor,43.8907,7.87224,,0.85229,,-1.83713,1.83715,20
14,173128368,73099396,C1CN(CCC12C(=O)NCN2CC3=CC=CC=C3F)CCNC(=O)C4=CC5=CC=CC=C5C=C4.C(=O)(C(F)(F)F)O.C(=O)(C(F)(F)F)O,Active,50,http://www.vcndd.com/,,4.59,Inhibitor,87.0823,21.476,,0,,0,0,4.59
15,173128372,73099328,C1CN(CCC12C(=O)NCN2CC3=CC=CC4=CC=CC=C43)CCNC(=O)C5=CC6=CC=CC=C6C=C5.C(=O)(C(F)(F)F)O.C(=O)(C(F)(F)F)O,Active,50,http://www.vcndd.com/,,1.05,Inhibitor,94.3176,65.8213,,14.9788,,0,0,1.05
16,173128364,73099366,C1CN(CCC12C(=O)NCN2C(=O)C3=CC(=CC=C3)F)CCNC(=O)C4=CC5=CC=CC=C5C=C4.C(=O)(C(F)(F)F)O,Active,50,http://www.vcndd.com/,,8.76,Inhibitor,69.9397,16.1427,,0,,0,0,8.76
17,173128365,73099473,COC1=CC=CC(=C1)C(=O)N2CNC(=O)C23CCN(CC3)CCNC(=O)C4=CC5=CC=CC=C5C=C4.C(=O)(C(F)(F)F)O,Active,50,http://www.vcndd.com/,,19,Inhibitor,49.6207,16.7169,,0,,0,0,19
18,173128363,73099334,C1CC(C1)C(=O)N2CNC(=O)C23CCN(CC3)CCNC(=O)C4=CC5=CC=CC=C5C=C4.C(=O)(C(F)(F)F)O,Active,50,http://www.vcndd.com/,,4,Inhibitor,84.0766,32.5023,,2.96592,,0.0463067,-0.04631,4
19,173128366,73099362,C1CC1C(=O)N2CNC(=O)C23CCN(CC3)CCNC(=O)C4=CC5=CC=CC=C5C=C4.C(=O)(C(F)(F)F)O,Active,50,http://www.vcndd.com/,,3.1,Inhibitor,87.6317,37.3876,,0,,0,0,3.1
20,173128357,73099404,C1CN(CCC12C(=O)NCN2CC3=CC=CC=C3)CCNC(=O)C4=CC5=CC=CC=C5C=C4.C(=O)(C(F)(F)F)O.C(=O)(C(F)(F)F)O,Active,50,http://www.vcndd.com/,,8.26,Inhibitor,71.5657,16.0446,,0,,0,0,8.26
21,173128358,73099330,C1CN(CCC12C(=O)NCN2CC3=CC=CC=C3Cl)CCNC(=O)C4=CC5=CC=CC=C5C=C4.C(=O)(C(F)(F)F)O.C(=O)(C(F)(F)F)O,Active,50,http://www.vcndd.com/,,2.3,Inhibitor,95.6453,44.8451,,2.39856,,0,0,2.3
