PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Average_IC50_uM,Category,Value_at_20_uM_1,Value_at_2_uM_1,Value_at_0.5_uM_1,Value_at_0.2_uM_1,Value_at_0.1_uM_1,Value_at_0.02_uM_1,Value_at_0.002_uM_1,Value_at_0.0002_uM_1,IC50_uM_1
RESULT_TYPE,,,,,,,,FLOAT,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT
RESULT_DESCR,,,,,,,,Average IC50 across replicates,How a compound is classified,See Protocol,See Protocol,See Protocol,See Protocol,See Protocol,See Protocol,See Protocol,See Protocol,See Protocol
RESULT_UNIT,,,,,,,,MICROMOLAR,,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,MICROMOLAR
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,,,,,,,
RESULT_ATTR_CONC_MICROMOL,,,,,,,,,,20,2,0.5,0.2,0.1,0.02,0.002,0.0002,
1,173128414,73099479,C1CN(CCC12C(=O)NCN2CC3=CN=CC=C3)CCNC(=O)C4=CC5=CC=CC=C5N4.C(=O)(C(F)(F)F)O.C(=O)(C(F)(F)F)O.C(=O)(C(F)(F)F)O,Active,50,http://www.vcndd.com/,,0.05,Inhibitor,100,100,96.6644,71.9537,,27.6644,4.4967,,0.05
2,173128405,73099343,C1CN(CCC12C(=O)NCN2CC3=CN=CC=C3)CCNC(=O)C4=CC5=CC=CC=C5O4.C(=O)(C(F)(F)F)O.C(=O)(C(F)(F)F)O,Active,50,http://www.vcndd.com/,,2.5,Inhibitor,90.8088,37.1748,,0,,0,0.6,,2.5
3,173128410,73099385,C1CN(CCC12C(=O)NCN2CC3=CN=CC=C3)CCNC(=O)C4=C(C5=CC=CC=C5C=C4)Br.C(=O)(C(F)(F)F)O.C(=O)(C(F)(F)F)O,Active,50,http://www.vcndd.com/,,1.24,Inhibitor,90.7818,65.7984,,2.73753,,0,0,,1.24
4,173128377,73099363,C1CN(CCC12C(=O)NCN2CC3=CN=CC=C3)CCNC(=O)C4=CC5=CC=CC=C5C=C4.C(=O)(C(F)(F)F)O.C(=O)(C(F)(F)F)O,Active,50,http://www.vcndd.com/,,0.46,Inhibitor,100,82.1468,46.6904,29.8916,,12.8082,5.54768,,0.46
5,173128382,73099345,C1CN(CCC12C(=O)NCN2CC3=CN=CC=C3)CCNC(=O)C4=CC5=C(N4)C=CC(=C5)F.C(=O)(C(F)(F)F)O.C(=O)(C(F)(F)F)O.C(=O)(C(F)(F)F)O,Active,50,http://www.vcndd.com/,,0.12,Inhibitor,,98.6065,,66.0428,42.4048,11.1675,4.20311,0,0.12
6,173128391,73099408,C1CN(CCC12C(=O)NCN2CC3=CN=CC=C3)CCNC(=O)C4=CC(=C(C=C4)Cl)Cl.C(=O)(C(F)(F)F)O.C(=O)(C(F)(F)F)O,Active,50,http://www.vcndd.com/,,1.24,Inhibitor,100,59.8979,,13.2579,,0,0.394393,,1.24
7,173128369,73099475,C1CN(CCC12C(=O)NCN2CC3=CC(=CC=C3)Cl)CCNC(=O)C4=CC5=CC=CC=C5C=C4.C(=O)(C(F)(F)F)O.C(=O)(C(F)(F)F)O,Active,50,http://www.vcndd.com/,,0.25,Inhibitor,,99.682,,43.7469,,22.6788,6.67217,0.6666,0.25
8,173128370,73099456,C1CN(CCC12C(=O)NCN2CC3=CC=CC=C3Br)CCNC(=O)C4=CC5=CC=CC=C5C=C4.C(=O)(C(F)(F)F)O.C(=O)(C(F)(F)F)O,Active,50,http://www.vcndd.com/,,0.16,Inhibitor,,100,,58.7378,,6.22592,0,1.8063,0.16
9,173128371,73099426,C1CN(CCC12C(=O)NCN2CC3=CC=CC=N3)CCNC(=O)C4=CC5=CC=CC=C5C=C4.C(=O)(C(F)(F)F)O.C(=O)(C(F)(F)F)O,Active,50,http://www.vcndd.com/,,0.08,Inhibitor,,100,,82.783,,0,0,0,0.08
10,173128373,73099353,C1CN(CCC12C(=O)NCN2CC3=CC=C(C=C3)Cl)CCNC(=O)C4=CC5=CC=CC=C5C=C4.C(=O)(C(F)(F)F)O.C(=O)(C(F)(F)F)O,Active,50,http://www.vcndd.com/,,1.54,Inhibitor,,62.3098,,0,,0,0,0,1.54
11,173128374,73099363,C1CN(CCC12C(=O)NCN2CC3=CN=CC=C3)CCNC(=O)C4=CC5=CC=CC=C5C=C4.C(=O)(C(F)(F)F)O.C(=O)(C(F)(F)F)O,Active,50,http://www.vcndd.com/,,0.36,Inhibitor,100,92.6335,,29.2353,,0,0,3.11476,0.36
12,173128375,73099432,C1CN(CCC12C(=O)NCN2CC3=CC=NC=C3)CCNC(=O)C4=CC5=CC=CC=C5C=C4.C(=O)(C(F)(F)F)O.C(=O)(C(F)(F)F)O,Active,50,http://www.vcndd.com/,,0.85,Inhibitor,100,84.0864,,16.138,,8.01468,21.1589,0,0.85
13,173128367,73099433,C1CC1CN2CNC(=O)C23CCN(CC3)CCNC(=O)C4=CC5=CC=CC=C5C=C4.C(=O)(C(F)(F)F)O.C(=O)(C(F)(F)F)O,Active,50,http://www.vcndd.com/,,2.05,Inhibitor,100,55.7305,,15.2702,,22.2698,17.2894,2.66667e-05,2.05
14,173128368,73099396,C1CN(CCC12C(=O)NCN2CC3=CC=CC=C3F)CCNC(=O)C4=CC5=CC=CC=C5C=C4.C(=O)(C(F)(F)F)O.C(=O)(C(F)(F)F)O,Active,50,http://www.vcndd.com/,,0.2,Inhibitor,100,97.9813,,48.5533,,26.148,16.5917,3.33333e-06,0.2
15,173128372,73099328,C1CN(CCC12C(=O)NCN2CC3=CC=CC4=CC=CC=C43)CCNC(=O)C5=CC6=CC=CC=C6C=C5.C(=O)(C(F)(F)F)O.C(=O)(C(F)(F)F)O,Active,50,http://www.vcndd.com/,,0.16,Inhibitor,100,93.2833,,54.2155,,20.8876,12.5174,3.33333e-06,0.16
16,173128364,73099366,C1CN(CCC12C(=O)NCN2C(=O)C3=CC(=CC=C3)F)CCNC(=O)C4=CC5=CC=CC=C5C=C4.C(=O)(C(F)(F)F)O,Active,50,http://www.vcndd.com/,,2.75,Inhibitor,87.8536,41.163,,11.6708,,0,0,,2.75
17,173128365,73099473,COC1=CC=CC(=C1)C(=O)N2CNC(=O)C23CCN(CC3)CCNC(=O)C4=CC5=CC=CC=C5C=C4.C(=O)(C(F)(F)F)O,Active,50,http://www.vcndd.com/,,2.05,Inhibitor,97.7058,49.043,,4.11186,,-3.24516,3.24516,,2.05
18,173128363,73099334,C1CC(C1)C(=O)N2CNC(=O)C23CCN(CC3)CCNC(=O)C4=CC5=CC=CC=C5C=C4.C(=O)(C(F)(F)F)O,Active,50,http://www.vcndd.com/,,0.32,Inhibitor,100,96.6872,,32.9218,,8.49819,-1.20351,1.20352,0.32
19,173128366,73099362,C1CC1C(=O)N2CNC(=O)C23CCN(CC3)CCNC(=O)C4=CC5=CC=CC=C5C=C4.C(=O)(C(F)(F)F)O,Active,50,http://www.vcndd.com/,,0.44,Inhibitor,100,82.3424,,32.4182,,11.727,1e-05,3.63637,0.44
20,173128357,73099404,C1CN(CCC12C(=O)NCN2CC3=CC=CC=C3)CCNC(=O)C4=CC5=CC=CC=C5C=C4.C(=O)(C(F)(F)F)O.C(=O)(C(F)(F)F)O,Active,50,http://www.vcndd.com/,,0.89,Inhibitor,98.8167,84.4185,,4.50831,,0,0,0,0.89
21,173128358,73099330,C1CN(CCC12C(=O)NCN2CC3=CC=CC=C3Cl)CCNC(=O)C4=CC5=CC=CC=C5C=C4.C(=O)(C(F)(F)F)O.C(=O)(C(F)(F)F)O,Active,50,http://www.vcndd.com/,,0.11,Inhibitor,100,100,,63.5929,,16.757,1.72973,1.33333e-05,0.11
