"Compound ChEMBL ID","Name",SMILES
"CHEMBL3301596","DASOTRALINE HYDROCHLORIDE","Cl.N[C@@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccccc21"
"CHEMBL3301602","FILGOTINIB HYDROCHLORIDE","Cl.O.O.O.O=C(Nc1nc2cccc(-c3ccc(CN4CCS(=O)(=O)CC4)cc3)n2n1)C1CC1"
"CHEMBL3990346","DROXINAVIR","CNCC(=O)N[C@H](C(=O)N[C@@H](Cc1ccccc1)[C@H](O)CN(CCC(C)C)C(=O)NC(C)(C)C)C(C)(C)C"
"CHEMBL2104184","BRASOFENSINE","CO/N=C/[C@@H]1[C@@H](c2ccc(Cl)c(Cl)c2)C[C@@H]2CC[C@H]1N2C"
"CHEMBL3707269","UPADACITINIB TARTRATE","CC[C@@H]1CN(C(=O)NCC(F)(F)F)C[C@@H]1c1cnc2cnc3[nH]ccc3n12.O.O.O.O.O=C(O)C(O)C(O)C(=O)O"
"CHEMBL2106598","ALRESTATIN SODIUM","C14H8NNaO4"
"CHEMBL1201582","TETANUS IMMUNE GLOBULIN",""
"CHEMBL115794","MANIFAXINE","C[C@@H]1CO[C@@](O)(c2cc(F)cc(F)c2)[C@H](C)N1"
"CHEMBL3039499","DELDEPREVIR SODIUM","COc1ccc2c(O[C@@H]3C[C@H]4C(=O)N[C@]5(C(=O)[N-]S(=O)(=O)C6CC6)C[C@H]5/C=C\CCCCC[C@H](CC(=O)N5CCCC(F)(F)C5)C(=O)N4C3)cc(-c3nc(C(C)C)cs3)nc2c1C.[Na+]"
"CHEMBL1908332","TUROSTERIDE","CC(C)NC(=O)N(C(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4N(C)C(=O)CC[C@]4(C)[C@H]3CC[C@]12C)C(C)C"
"CHEMBL5314536","POZDEUTINURAD","[2H]c1c([2H])c([2H])c2c(C(=O)c3cc(Br)c(O)c(Br)c3)c(C(C)O)oc2c1[2H]"
"CHEMBL2107625","BENAFENTRINE","COc1cc2c(cc1OC)[C@@H]1CN(C)CC[C@@H]1N=C2c1ccc(NC(C)=O)cc1"
"CHEMBL2106994","PUMAFENTRINE","CCOc1cc2c(cc1OC)C(c1ccc(C(=O)N(C(C)C)C(C)C)cc1)=N[C@@H]1CCN(C)C[C@H]21"
"CHEMBL3989903","ELZASONAN CITRATE","C28H31Cl2N3O8S"
"CHEMBL2105752","CERLAPIRDINE HYDROCHLORIDE","CN(C)CCCOc1ccc2[nH]nc(S(=O)(=O)c3cccc4ccccc34)c2c1.Cl"
"CHEMBL2105633","CARMEGLIPTIN DIHYDROCHLORIDE","COc1cc2c(cc1OC)[C@@H]1C[C@H](N)[C@@H](N3C[C@@H](CF)CC3=O)CN1CC2.Cl.Cl"
"CHEMBL2108732","DELCASERTIB ACETATE",""
"CHEMBL5314509","BLEXIMENIB","CCN(C(=O)c1cc(F)ccc1Oc1nncnc1N1CCC2(C1)CN([C@H](CCCN(C)CCOC)C(C)C)C2)C(C)C"
"CHEMBL54126","NEOSTIGMINE BROMIDE","CN(C)C(=O)Oc1cccc([N+](C)(C)C)c1.[Br-]"
"CHEMBL4297515","LODENAFIL CARBONATE","CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(CCOC(=O)OCCN5CCN(S(=O)(=O)c6ccc(OCC)c(-c7nc8c(CCC)nn(C)c8c(=O)[nH]7)c6)CC5)CC4)ccc3OCC)nc12"
"CHEMBL1204135","SEZOLAMIDE HYDROCHLORIDE","CC(C)CN[C@H]1CCS(=O)(=O)c2sc(S(N)(=O)=O)cc21.Cl"
"CHEMBL2107365","RADAFAXINE HYDROCHLORIDE","C[C@@H]1NC(C)(C)CO[C@@]1(O)c1cccc(Cl)c1.Cl"
"CHEMBL19611","ILOMASTAT","CNC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@@H](CC(=O)NO)CC(C)C"
"CHEMBL3040582","DELDEPREVIR","COc1ccc2c(O[C@@H]3C[C@H]4C(=O)N[C@]5(C(=O)NS(=O)(=O)C6CC6)C[C@H]5/C=C\CCCCC[C@H](CC(=O)N5CCCC(F)(F)C5)C(=O)N4C3)cc(-c3nc(C(C)C)cs3)nc2c1C"
"CHEMBL2107323","CEVIPABULIN SUCCINATE","CNCCCOc1cc(F)c(-c2c(Cl)nc3ncnn3c2N[C@@H](C)C(F)(F)F)c(F)c1.O.O.O=C(O)CCC(=O)O"
"CHEMBL2107833","REBASTINIB TOSYLATE","C37H36FN7O6S"
"CHEMBL2105891","PHYSOSTIGMINE SULFATE","CNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)[C@@H]1N2C.CNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)[C@@H]1N2C.O=S(=O)(O)O"
"CHEMBL2104541","VANEPRIM","CCOc1cc(C(Nc2ncc(Cc3cc(OC)c(OC)c(OC)c3)c(N)n2)S(=O)(=O)O)ccc1O"
"CHEMBL67","COMBRETASTATIN A4","COc1ccc(/C=C\c2cc(OC)c(OC)c(OC)c2)cc1O"
"CHEMBL4297219","ENSARTINIB HYDROCHLORIDE","C[C@@H]1CN(C(=O)c2ccc(NC(=O)c3cc(O[C@H](C)c4c(Cl)ccc(F)c4Cl)c(N)nn3)cc2)C[C@H](C)N1.Cl.Cl"
