Molecule,Canonical SMILES,Formula,MW,#Heavy atoms,#Aromatic heavy atoms,Fraction Csp3,#Rotatable bonds,#H-bond acceptors,#H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Silicos-IT Log P,Consensus Log P,ESOL Log S,ESOL Solubility (mg/ml),ESOL Solubility (mol/l),ESOL Class,Ali Log S,Ali Solubility (mg/ml),Ali Solubility (mol/l),Ali Class,Silicos-IT LogSw,Silicos-IT Solubility (mg/ml),Silicos-IT Solubility (mol/l),Silicos-IT class,GI absorption,BBB permeant,Pgp substrate,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,log Kp (cm/s),Lipinski #violations,Ghose #violations,Veber #violations,Egan #violations,Muegge #violations,Bioavailability Score,PAINS #alerts,Brenk #alerts,Leadlikeness #violations,Synthetic Accessibility
Molecule 1,Clc1ccc(cc1)CN1CCN(CC1)c1c(Cl)cnc2c1nc([nH]2)c1cn(nc1C)C,C22H23Cl2N7,456.37,31,20,0.32,4,4,1,132.10,65.87,3.50,3.81,3.38,3.05,4.04,3.56,-5.28,2.38e-03,5.21e-06,Moderately soluble,-4.89,5.90e-03,1.29e-05,Moderately soluble,-7.65,1.03e-05,2.25e-08,Poorly soluble,High,Yes,Yes,Yes,Yes,Yes,Yes,Yes,-6.38,0,1,0,0,0,0.55,0,0,2,3.23
Molecule 2,COc1cc(N[C@H](C(=O)c2c[nH]c3c2cc(cc3)OC(F)(F)F)c2ccc(cc2OC)Cl)cc(c1)S(=O)(=O)C,C26H22ClF3N2O6S,582.98,39,21,0.19,10,9,2,139.58,115.10,3.39,6.13,8.00,2.38,5.61,5.10,-7.05,5.14e-05,8.81e-08,Poorly soluble,-8.33,2.73e-06,4.68e-09,Poorly soluble,-9.90,7.37e-08,1.26e-10,Poorly soluble,Low,No,No,No,Yes,Yes,No,Yes,-5.50,1,3,0,1,1,0.55,0,0,3,4.18
Molecule 3,CCN(CCNC(=O)c1c(C)[nH]c(c1C)/C=C/1\C(=O)Nc2c1cc(F)cc2)CC,C22H27FN4O2,398.47,29,11,0.36,8,4,3,116.31,77.23,3.55,2.63,3.07,2.06,4.77,3.22,-3.72,7.59e-02,1.90e-04,Soluble,-3.90,4.99e-02,1.25e-04,Soluble,-7.35,1.76e-05,4.43e-08,Poorly soluble,High,Yes,Yes,No,Yes,No,Yes,Yes,-6.86,0,0,0,0,0,0.55,0,1,2,3.58
Molecule 4,OCCN1CCN(CC1)c1cc(nc(n1)C)Nc1ncc(s1)C(=O)Nc1c(C)cccc1Cl.O,C22H28ClN7O3S,506.02,34,17,0.36,8,7,4,141.68,143.98,3.37,3.11,2.30,0.58,3.33,2.54,-4.78,8.42e-03,1.66e-05,Moderately soluble,-5.80,7.98e-04,1.58e-06,Moderately soluble,-6.88,6.70e-05,1.32e-07,Poorly soluble,Low,No,Yes,No,Yes,Yes,Yes,Yes,-7.18,1,2,1,1,0,0.55,0,0,2,3.94
Molecule 5,OCCN1CCN(CC1)c1cc(nc(n1)C)Nc1ncc(s1)C(=O)Nc1c(C)cccc1Cl,C22H26ClN7O2S,488.01,33,17,0.36,8,6,3,138.63,134.75,3.37,3.59,2.36,1.35,3.33,2.80,-4.98,5.10e-03,1.05e-05,Moderately soluble,-6.11,3.82e-04,7.83e-07,Poorly soluble,-6.88,6.46e-05,1.32e-07,Poorly soluble,High,No,No,No,Yes,Yes,Yes,Yes,-6.73,0,2,0,1,0,0.55,0,0,3,3.83
Molecule 6,CN1CCC(CC1)c1ccc(nc1)Nc1ncc(c(n1)c1cc(F)c2c(c1)N(CCO2)C(C)C)F,C26H30F2N6O,480.55,35,18,0.42,5,7,1,139.55,66.41,4.21,4.45,5.06,2.96,4.35,4.21,-5.67,1.02e-03,2.12e-06,Moderately soluble,-5.56,1.31e-03,2.73e-06,Moderately soluble,-8.10,3.82e-06,7.94e-09,Poorly soluble,High,Yes,Yes,No,Yes,Yes,Yes,No,-6.07,0,2,0,0,0,0.55,0,0,2,3.78
Molecule 7,CCOC(=O)[C@H]1NCC2(C1)CCN(CC2)c1cc(nc(n1)N)O[C@@H](C(F)(F)F)c1ccc(cc1c1ccccc1)Cl,C29H31ClF3N5O3,590.04,41,18,0.41,9,9,2,156.78,102.60,3.66,6.14,5.76,4.06,5.02,4.93,-7.10,4.72e-05,7.99e-08,Poorly soluble,-8.08,4.94e-06,8.37e-09,Poorly soluble,-9.18,3.94e-07,6.68e-10,Poorly soluble,Low,No,Yes,No,No,No,Yes,Yes,-5.54,1,4,0,0,1,0.55,0,0,3,5.49
Molecule 8,C[C@H](COc1ccc(cc1)c1cnc2n1nc(cc2)N[C@@H](c1cccc(c1)F)C)N,C23H24FN5O,405.47,30,21,0.22,7,5,2,115.79,77.47,3.38,3.76,4.34,3.44,3.41,3.67,-4.78,6.75e-03,1.66e-05,Moderately soluble,-5.08,3.37e-03,8.32e-06,Moderately soluble,-7.65,9.01e-06,2.22e-08,Poorly soluble,High,No,Yes,No,Yes,Yes,Yes,Yes,-6.10,0,0,0,0,0,0.55,0,0,2,4.13
Molecule 9,CCN1CCN(CC1)Cc1ccc(nc1)Nc1ncc(c(n1)c1cc(F)c2c(c1)n1[C@H](C)CCCc1n2)F,C28H32F2N8,518.60,38,21,0.43,6,8,1,151.86,75.00,3.94,3.85,4.87,2.83,4.06,3.91,-5.49,1.66e-03,3.21e-06,Moderately soluble,-5.12,3.92e-03,7.56e-06,Moderately soluble,-8.66,1.14e-06,2.20e-09,Poorly soluble,High,No,Yes,No,No,Yes,Yes,Yes,-6.73,1,2,0,0,0,0.55,0,0,2,4.47
Molecule 10,COc1cc2c(ccnc2cc1OCCN1CC(C2(C1)CC2)O)Oc1ccc2c(c1F)cc([nH]2)C,C27H28FN3O4,477.53,35,19,0.37,7,7,2,135.16,79.84,3.61,4.09,4.78,2.41,5.18,4.01,-5.32,2.30e-03,4.82e-06,Moderately soluble,-5.47,1.61e-03,3.37e-06,Moderately soluble,-8.21,2.92e-06,6.11e-09,Poorly soluble,High,No,Yes,No,No,Yes,Yes,Yes,-6.31,0,1,0,0,0,0.55,0,0,2,4.34
