bit,active_count,inactive_count,P_active,P_inactive,enrichment,log_odds
1628,16,0,0.0066555740432612314,0.0,66555741.43261231,18.01355037155014
959,10,0,0.004159733777038269,0.0,41597338.77038269,17.543546751319404
1553,8,0,0.0033277870216306157,0.0,33277871.216306157,17.320403206015193
1131,6,0,0.0024958402662229617,0.0,24958403.662229616,17.03272114358008
346,5,0,0.0020798668885191347,0.0,20798669.885191347,16.85039959479946
1751,4,0,0.0016638935108153079,0.0,16638936.108153079,16.627256055505246
1241,3,0,0.0012479201331114808,0.0,12479202.331114808,16.3395740030868
1902,3,0,0.0012479201331114808,0.0,12479202.331114808,16.3395740030868
1030,3,0,0.0012479201331114808,0.0,12479202.331114808,16.3395740030868
1789,3,0,0.0012479201331114808,0.0,12479202.331114808,16.3395740030868
1811,3,0,0.0012479201331114808,0.0,12479202.331114808,16.3395740030868
1710,3,0,0.0012479201331114808,0.0,12479202.331114808,16.3395740030868
877,3,0,0.0012479201331114808,0.0,12479202.331114808,16.3395740030868
1392,2,0,0.0008319467554076539,0.0,8319468.554076539,15.934108935045296
566,2,0,0.0008319467554076539,0.0,8319468.554076539,15.934108935045296
1505,2,0,0.0008319467554076539,0.0,8319468.554076539,15.934108935045296
1886,2,0,0.0008319467554076539,0.0,8319468.554076539,15.934108935045296
1836,2,0,0.0008319467554076539,0.0,8319468.554076539,15.934108935045296
256,2,0,0.0008319467554076539,0.0,8319468.554076539,15.934108935045296
1826,2,0,0.0008319467554076539,0.0,8319468.554076539,15.934108935045296
1113,2,0,0.0008319467554076539,0.0,8319468.554076539,15.934108935045296
543,1,0,0.00041597337770382697,0.0,4159734.777038269,15.240961874685329
1358,1,0,0.00041597337770382697,0.0,4159734.777038269,15.240961874685329
51,1,0,0.00041597337770382697,0.0,4159734.777038269,15.240961874685329
1100,1,0,0.00041597337770382697,0.0,4159734.777038269,15.240961874685329
513,1,0,0.00041597337770382697,0.0,4159734.777038269,15.240961874685329
85,1,0,0.00041597337770382697,0.0,4159734.777038269,15.240961874685329
1112,1,0,0.00041597337770382697,0.0,4159734.777038269,15.240961874685329
1694,1,0,0.00041597337770382697,0.0,4159734.777038269,15.240961874685329
306,1,0,0.00041597337770382697,0.0,4159734.777038269,15.240961874685329
1355,1,0,0.00041597337770382697,0.0,4159734.777038269,15.240961874685329
181,1,0,0.00041597337770382697,0.0,4159734.777038269,15.240961874685329
1967,1,0,0.00041597337770382697,0.0,4159734.777038269,15.240961874685329
717,26,1,0.010815307820299502,0.00038182512409316535,28.32528402487251,3.343754834220284
1364,22,1,0.009151414309484194,0.00038182512409316535,23.967548061338263,3.1767007512382364
805,105,5,0.04367720465890183,0.0019091256204658267,22.878118654356925,3.1301809364855617
796,20,1,0.008319467554076539,0.00038182512409316535,21.78868007957114,3.081390572526639
131,20,1,0.008319467554076539,0.00038182512409316535,21.78868007957114,3.081390572526639
1125,18,1,0.0074875207986688855,0.00038182512409316535,19.60981209780402,2.976030058204368
302,196,14,0.08153078202995008,0.005345551737304314,15.25207960027283,2.7247158609872604
444,14,1,0.005823627287853577,0.00038182512409316535,15.252076134269778,2.724715633739335
1276,74,6,0.030782029950083195,0.002290950744558992,13.436355530364395,2.597964132427378
862,12,1,0.004991680532445923,0.00038182512409316535,13.073208152502657,2.5705649567739814
1924,92,8,0.03826955074875208,0.0030546009927453228,12.528493798958646,2.528005554097362
386,202,18,0.08402662229617304,0.006872852233676976,12.22587338075672,2.503554474997753
764,11,1,0.004575707154742097,0.00038182512409316535,11.983774161619097,2.483553581605564
505,11,1,0.004575707154742097,0.00038182512409316535,11.983774161619097,2.483553581605564
655,11,1,0.004575707154742097,0.00038182512409316535,11.983774161619097,2.483553581605564
1288,111,11,0.04617304492512479,0.004200076365024819,10.993382003785008,2.3972934557232524
943,121,12,0.05033277870216306,0.004581901489117984,10.985128733821654,2.3965424248231315
415,10,1,0.004159733777038269,0.00038182512409316535,10.894340170735536,2.388243403986693
1218,191,20,0.07945091514143095,0.007636502481863307,10.404097214623729,2.3421996915088914
206,38,4,0.015806988352745424,0.0015273004963726614,10.34962501179337,2.336950288310427
1566,113,12,0.047004991680532446,0.004581901489117984,10.25883923220204,2.328139698079388
1067,37,4,0.015391014975041598,0.0015273004963726614,10.077266460574464,2.310282041399247
1412,9,1,0.0037437603993344427,0.00038182512409316535,9.804906179851978,2.282882890999978
1929,112,13,0.04658901830282862,0.004963726613211149,9.385895133757094,2.2392080446864466
1676,145,17,0.06031613976705491,0.006491027109583811,9.292233404598877,2.229178933469021
1411,17,2,0.007071547420965058,0.0007636502481863307,9.260190266081826,2.2257245955400693
418,118,14,0.04908485856905158,0.005345551737304314,9.18237446067016,2.2172858270331655
1839,24,3,0.009983361064891847,0.001145475372279496,8.71547353608974,2.16510001324912
962,24,3,0.009983361064891847,0.001145475372279496,8.71547353608974,2.16510001324912
1834,16,2,0.0066555740432612314,0.0007636502481863307,8.715473199309367,2.165099974607458
1427,118,15,0.04908485856905158,0.0057273768613974796,8.570216173980432,2.1482929567933566
271,59,8,0.02454242928452579,0.0030546009927453228,8.034577556727147,2.083754422415574
628,73,10,0.03036605657237937,0.0038182512409316535,7.95287003421049,2.0735328741101102
765,14,2,0.005823627287853577,0.0007636502481863307,7.626039065764442,2.0315685841293636
537,7,1,0.0029118136439267887,0.00038182512409316535,7.6260381980848555,2.031568470350818
923,7,1,0.0029118136439267887,0.00038182512409316535,7.6260381980848555,2.031568470350818
741,7,1,0.0029118136439267887,0.00038182512409316535,7.6260381980848555,2.031568470350818
733,7,1,0.0029118136439267887,0.00038182512409316535,7.6260381980848555,2.031568470350818
2020,162,24,0.06738768718801996,0.009163802978235968,7.353681295058131,1.9952010443085026
1494,27,4,0.011231281198003328,0.0015273004963726614,7.353680948385418,1.9952009971657578
2010,197,30,0.0819467554076539,0.011454753722794959,7.1539516933641885,1.9676648884187515
110,85,13,0.035357737104825294,0.004963726613211149,7.123223990297315,1.9633604305634753
1479,32,5,0.013311148086522463,0.0019091256204658267,6.97237905488725,1.941956494350741
72,32,5,0.013311148086522463,0.0019091256204658267,6.97237905488725,1.941956494350741
10,57,9,0.023710482529118136,0.003436426116838488,6.8997502442906455,1.9314852144684886
1757,25,4,0.010399334442595673,0.0015273004963726614,6.808963845947608,1.9182399567419257
1798,197,32,0.0819467554076539,0.012218403970981291,6.70682971618834,1.903126367826805
